contrast,roi,n,df,raw_r,raw_p,raw_p_fdr_within_contrast,partial_r,partial_p,partial_p_fdr_within_contrast,controlling_for
speech_vs_reversed,R_STG_posterior,23,19,0.5855611190768902,0.0033292110149603467,0.03995053217952416,0.6472106116069661,0.0015171373838715205,0.018205648606458246,"age, iq"
speech_vs_reversed,R_Heschl,23,19,0.3604401206253837,0.09111449993285228,0.36445799973140913,0.4659104500427942,0.03327893404728571,0.1355485119844192,"age, iq"
speech_vs_reversed,R_MTG,23,19,0.39281818225315424,0.06371491503525746,0.36445799973140913,0.4645020973356179,0.0338871279961048,0.1355485119844192,"age, iq"
speech_vs_reversed,R_IFG,23,19,0.13510162042305535,0.538805343075696,0.961806757893898,0.15456741448703554,0.5035064844692121,0.8789277002692616,"age, iq"
speech_vs_reversed,L_Heschl,23,19,0.15245104135452203,0.48741069546300486,0.961806757893898,0.1517183198694219,0.5114993608218433,0.8789277002692616,"age, iq"
speech_vs_reversed,L_STG_anterior,23,19,0.05576122723580048,0.8004964929738854,0.961806757893898,0.12086208206939804,0.6017644480955107,0.8789277002692616,"age, iq"
speech_vs_reversed,L_STG_posterior,23,19,0.05248671921797594,0.8120023815366584,0.961806757893898,0.11423770093411664,0.6219655371882732,0.8789277002692616,"age, iq"
speech_vs_reversed,L_STS,23,19,0.0896857323084444,0.6840422716862492,0.961806757893898,0.1036874587662565,0.654680633982615,0.8789277002692616,"age, iq"
speech_vs_reversed,R_STG_anterior,23,19,-0.010574474777821906,0.961806757893898,0.961806757893898,0.05957567870306852,0.7975491295721733,0.8789277002692616,"age, iq"
speech_vs_reversed,L_IFG_opercularis,23,19,-0.08428748010493331,0.7021885936463393,0.961806757893898,-0.058164032752172905,0.802253641559926,0.8789277002692616,"age, iq"
speech_vs_reversed,L_IFG_triangularis,23,19,0.0452105259799705,0.8377011027101271,0.961806757893898,0.05713604207004537,0.8056837252468231,0.8789277002692616,"age, iq"
speech_vs_reversed,L_MTG,23,19,0.023370321468082076,0.9157062380412618,0.961806757893898,0.025673538110691337,0.9120410171134262,0.9120410171134262,"age, iq"
