roi,pearson_r,pearson_p,spearman_rho,spearman_p,n,pearson_p_fdr,pearson_p_fdr_within_contrast
L_STG_posterior,-0.16386365985481058,0.4549971481802285,-0.12029726555706985,0.5845543170386831,23,0.9955223519165686,0.6838004921752265
L_STG_anterior,-0.26547340593352914,0.22084615894388493,-0.22524796637229133,0.3014327951152937,23,0.9955223519165686,0.6625384768316548
L_MTG,-0.0833711232280211,0.7052849439494191,-0.1534656474184842,0.48448315177880735,23,0.9955223519165686,0.76940175703573
L_IFG_triangularis,-0.19426650069631785,0.37442331469388623,-0.1495052436141362,0.49596035984540454,23,0.9955223519165686,0.6838004921752265
L_IFG_opercularis,-0.048221969137776745,0.8270440004237194,-0.004950504755434974,0.9821146573999472,23,0.9955223519165686,0.8270440004237194
L_STS,-0.22244648326721472,0.3076440050604942,-0.18217857500000703,0.4054256256974573,23,0.9955223519165686,0.6838004921752265
R_STG_posterior,-0.47526876851051547,0.021910521801771145,-0.4965356269701279,0.015949900269204835,23,0.4601209578371941,0.26292626162125377
R_STG_anterior,-0.14375837156460894,0.5128503691314199,-0.0737625208559811,0.7380165046687396,23,0.9955223519165686,0.6838004921752265
R_MTG,-0.41206405744726715,0.05072557905295945,-0.4232681565896903,0.044171960730313584,23,0.6133170926733855,0.3043534743177567
R_IFG,0.11630185996206095,0.5971810397213457,0.09851504463315597,0.654727314532637,23,0.9955223519165686,0.7166172476656149
L_Heschl,-0.15918688196348893,0.468141861348704,-0.1128715084239174,0.608112696436702,23,0.9955223519165686,0.6838004921752265
R_Heschl,-0.2848056578546977,0.1877762025702696,-0.2950500834239244,0.17170175179401323,23,0.9955223519165686,0.6625384768316548
