roi,partial_r,partial_p,n,df,controlling_for,partial_p_fdr_within_contrast
L_STG_posterior,-0.23986464550654846,0.29497122076959426,23,19,"['age', 'iq']",0.6465910758514957
L_STG_anterior,-0.339000738581085,0.13276231356123863,23,19,"['age', 'iq']",0.3982869406837159
L_MTG,-0.093848400747422,0.6857509156253675,23,19,"['age', 'iq']",0.7480919079549464
L_IFG_triangularis,-0.20014654811356702,0.3843687807953645,23,19,"['age', 'iq']",0.6465910758514957
L_IFG_opercularis,-0.04796822814023983,0.8364189932077156,23,19,"['age', 'iq']",0.8364189932077156
L_STS,-0.22560107920023023,0.3254681588516642,23,19,"['age', 'iq']",0.6465910758514957
R_STG_posterior,-0.5160291339443931,0.01663633239247484,23,19,"['age', 'iq']",0.1996359887096981
R_STG_anterior,-0.15550269318072732,0.500895924087993,23,19,"['age', 'iq']",0.667861232117324
R_MTG,-0.43840805973913244,0.04681499219833984,23,19,"['age', 'iq']",0.28088995319003907
R_IFG,0.11428180108988911,0.6218301635156691,23,19,"['age', 'iq']",0.746196196218803
L_Heschl,-0.1814993543194665,0.4310607172343304,23,19,"['age', 'iq']",0.6465910758514957
R_Heschl,-0.3836770087474175,0.08598058780733568,23,19,"['age', 'iq']",0.3439223512293427
