roi,pearson_r,pearson_p,spearman_rho,spearman_p,n,pearson_p_fdr,pearson_p_fdr_within_contrast
L_STG_posterior,-0.2288825861726799,0.29349061530760423,-0.24009948063859624,0.26980870519804784,23,0.9955223519165686,0.9498262886689228
L_STG_anterior,-0.3165596783562507,0.14111281334439174,-0.23267372350544377,0.2853464052636865,23,0.9485588515342368,0.9498262886689228
L_MTG,-0.0007744884825981034,0.9972016912919358,-0.00940595903532645,0.9660247308476468,23,0.9972016912919358,0.9972016912919358
L_IFG_triangularis,-0.13854921110486473,0.5283960233696309,-0.16188150550272362,0.4605445973829903,23,0.9955223519165686,0.9498262886689228
L_IFG_opercularis,-0.08127940425318783,0.7123697165016921,-0.03267333138587083,0.8823455771643048,23,0.9955223519165686,0.9498262886689228
L_STS,-0.1034282797712651,0.6386222460409441,-0.11930716460598287,0.5876726023148457,23,0.9955223519165686,0.9498262886689228
R_STG_posterior,-0.14896123445312678,0.4975473170392917,0.037128785665762304,0.8664330867869023,23,0.9955223519165686,0.9498262886689228
R_STG_anterior,-0.08664502569603229,0.6942436195115067,-0.04108918947011029,0.8523304473531749,23,0.9955223519165686,0.9498262886689228
R_MTG,0.026214173501346444,0.9054909879390388,0.10643585224185195,0.6288405309528533,23,0.9955223519165686,0.9878083504789514
R_IFG,0.23283448706513094,0.2850042100808146,0.1311883760190268,0.5507347327507397,23,0.9955223519165686,0.9498262886689228
L_Heschl,-0.09456002868803641,0.6678008942531294,-0.14108938552989675,0.5207877223972227,23,0.9955223519165686,0.9498262886689228
R_Heschl,-0.056255301130312,0.7987638437409481,-0.04851494660326275,0.8260087342345064,23,0.9955223519165686,0.9585166124891377
