roi,partial_r,partial_p,n,df,controlling_for,partial_p_fdr_within_contrast
L_STG_posterior,-0.2655539961431312,0.24464988640588717,23,19,"['age', 'iq']",0.9437025403634334
L_STG_anterior,-0.34941694137344464,0.12052101257694839,23,19,"['age', 'iq']",0.9437025403634334
L_MTG,-0.011298439127797943,0.9612326176149015,23,19,"['age', 'iq']",0.9612326176149015
L_IFG_triangularis,-0.1484359819302192,0.5207824226897445,23,19,"['age', 'iq']",0.9437025403634334
L_IFG_opercularis,-0.0865942282260923,0.7089786730918917,23,19,"['age', 'iq']",0.9437025403634334
L_STS,-0.09498831358404991,0.6821249831655883,23,19,"['age', 'iq']",0.9437025403634334
R_STG_posterior,-0.16459632734257182,0.4758617328916871,23,19,"['age', 'iq']",0.9437025403634334
R_STG_anterior,-0.06292364927946993,0.7864187836361946,23,19,"['age', 'iq']",0.9437025403634334
R_MTG,0.028998133441790593,0.9007018536153092,23,19,"['age', 'iq']",0.9612326176149015
R_IFG,0.23601190860341062,0.303029302141788,23,19,"['age', 'iq']",0.9437025403634334
L_Heschl,-0.12900049092763607,0.5773268727896121,23,19,"['age', 'iq']",0.9437025403634334
R_Heschl,-0.08314054536869629,0.7201267533640591,23,19,"['age', 'iq']",0.9437025403634334
