roi,pearson_r,pearson_p,spearman_rho,spearman_p,n,pearson_p_fdr,pearson_p_fdr_within_contrast
L_STG_posterior,-0.1957077318108926,0.3708200813801362,-0.2301984711277263,0.2906475978945988,23,0.9955223519165686,0.9852125026215617
L_STG_anterior,-0.08888105226855154,0.6867368067351617,-0.095544741779895,0.6645369322305738,23,0.9955223519165686,0.9852125026215617
L_MTG,0.004092948064476898,0.9852125026215617,0.054455552309784716,0.805079675458733,23,0.9970825327736287,0.9852125026215617
L_IFG_triangularis,0.01556575990085234,0.9438022829572783,0.05099019898098023,0.817273518705164,23,0.9955223519165686,0.9852125026215617
L_IFG_opercularis,-0.16446676586167608,0.45331618522776085,-0.24207968254077022,0.26575799983830084,23,0.9955223519165686,0.9852125026215617
L_STS,0.007860203350069726,0.9716057563828643,0.025247574252718365,0.9089615124545499,23,0.9955223519165686,0.9852125026215617
R_STG_posterior,0.5350217642297265,0.008524697222245862,0.5445555230978472,0.00721736809039446,23,0.24164517555444334,0.10229636666695034
R_STG_anterior,-0.02703984735325779,0.9025277701906984,-0.05148524945652373,0.8155289616836607,23,0.9955223519165686,0.9852125026215617
R_MTG,0.4245092690136634,0.04348879280996445,0.40742654137229833,0.05364905514341346,23,0.6133170926733855,0.26093275685978673
R_IFG,-0.007801028079814534,0.9718194387756979,-0.03366343233695782,0.8788054474791608,23,0.9955223519165686,0.9852125026215617
L_Heschl,0.013723756815980873,0.9504440819104741,-0.046534744701088745,0.8330113540481934,23,0.9955223519165686,0.9852125026215617
R_Heschl,0.28407600684976425,0.18895900845780988,0.2881193767663155,0.18246819402167772,23,0.9955223519165686,0.7558360338312395
