roi,partial_r,partial_p,n,df,controlling_for,partial_p_fdr_within_contrast
L_STG_posterior,-0.18267305483801508,0.42803593597558115,23,19,"['age', 'iq']",0.990499247328367
L_STG_anterior,-0.07736674631170176,0.7388855455031171,23,19,"['age', 'iq']",0.990499247328367
L_MTG,-0.021111280403922683,0.9276278539394013,23,19,"['age', 'iq']",0.990499247328367
L_IFG_triangularis,-0.0065985351254823615,0.9773536065450406,23,19,"['age', 'iq']",0.990499247328367
L_IFG_opercularis,-0.18223679111143132,0.4291589178027659,23,19,"['age', 'iq']",0.990499247328367
L_STS,-0.0027679761880375006,0.990499247328367,23,19,"['age', 'iq']",0.990499247328367
R_STG_posterior,0.5566657694903877,0.008767488122614353,23,19,"['age', 'iq']",0.10520985747137224
R_STG_anterior,0.004959957497326326,0.9829763463759192,23,19,"['age', 'iq']",0.990499247328367
R_MTG,0.42693242731433556,0.053581262976074344,23,19,"['age', 'iq']",0.3214875778564461
R_IFG,-0.017328157361341488,0.9405724139355276,23,19,"['age', 'iq']",0.990499247328367
L_Heschl,-0.011482650849294646,0.9606010158167133,23,19,"['age', 'iq']",0.990499247328367
R_Heschl,0.30601274824684166,0.17730863797119972,23,19,"['age', 'iq']",0.7092345518847989
