roi,pearson_r,pearson_p,spearman_rho,spearman_p,n,pearson_p_fdr,pearson_p_fdr_within_contrast
L_STG_posterior,0.05248671921797594,0.8120023815366584,-0.03069312948369684,0.8894323084336805,23,0.9955223519165686,0.961806757893898
L_STG_anterior,0.05576122723580048,0.8004964929738854,0.0034653533288044815,0.9874797646612522,23,0.9955223519165686,0.961806757893898
L_MTG,0.023370321468082076,0.9157062380412618,0.08069322751359007,0.7143592928846162,23,0.9955223519165686,0.961806757893898
L_IFG_triangularis,0.0452105259799705,0.8377011027101271,0.06831696562500263,0.7567681826287745,23,0.9955223519165686,0.961806757893898
L_IFG_opercularis,-0.08428748010493331,0.7021885936463393,-0.14356463790761423,0.5134245447854029,23,0.9955223519165686,0.961806757893898
L_STS,0.0896857323084444,0.6840422716862492,-0.055445653260871704,0.8016036442604386,23,0.9955223519165686,0.961806757893898
R_STG_posterior,0.5855611190768902,0.0033292110149603467,0.567327844972848,0.004753562533627533,23,0.24164517555444334,0.03995053217952416
R_STG_anterior,-0.010574474777821906,0.961806757893898,-0.08564373226902505,0.697614252279818,23,0.9955223519165686,0.961806757893898
R_MTG,0.39281818225315424,0.06371491503525746,0.42128795468751623,0.04527929163239968,23,0.6690066078702034,0.36445799973140913
R_IFG,0.13510162042305535,0.538805343075696,0.10000019605978647,0.6498430141990671,23,0.9955223519165686,0.961806757893898
L_Heschl,0.15245104135452203,0.48741069546300486,0.09108928750000352,0.6793512808600943,23,0.9955223519165686,0.961806757893898
R_Heschl,0.3604401206253837,0.09111449993285228,0.3980205823369719,0.05997708819262601,23,0.7653617994359592,0.36445799973140913
