roi,partial_r,partial_p
L_STG_posterior,0.11423770093411656,0.6037490837939564
L_STG_anterior,0.120862082069398,0.582778649868744
L_MTG,0.025673538110691237,0.9074319091919802
L_IFG_triangularis,0.057136042070045245,0.7956774871950278
L_IFG_opercularis,-0.05816403275217283,0.7920788730434775
L_STS,0.1036874587662564,0.6377769744093805
R_STG_posterior,0.6472106116069659,0.000843523166327821
R_STG_anterior,0.059575678703068256,0.7871439182431831
R_MTG,0.46450209733561787,0.02554853062366158
R_IFG,0.15456741448703556,0.4813141452345918
L_Heschl,0.1707166057107226,0.4360894224043743
R_Heschl,0.4834118976774499,0.019446170476159434
