roi,partial_r,partial_p,n,df,controlling_for,partial_p_fdr_within_contrast
L_STG_posterior,0.11423770093411664,0.6219655371882732,23,19,"['age', 'iq']",0.8789277002692616
L_STG_anterior,0.12086208206939804,0.6017644480955107,23,19,"['age', 'iq']",0.8789277002692616
L_MTG,0.025673538110691337,0.9120410171134262,23,19,"['age', 'iq']",0.9120410171134262
L_IFG_triangularis,0.05713604207004537,0.8056837252468231,23,19,"['age', 'iq']",0.8789277002692616
L_IFG_opercularis,-0.058164032752172905,0.802253641559926,23,19,"['age', 'iq']",0.8789277002692616
L_STS,0.1036874587662565,0.654680633982615,23,19,"['age', 'iq']",0.8789277002692616
R_STG_posterior,0.6472106116069661,0.0015171373838715205,23,19,"['age', 'iq']",0.018205648606458246
R_STG_anterior,0.05957567870306852,0.7975491295721733,23,19,"['age', 'iq']",0.8789277002692616
R_MTG,0.4645020973356179,0.0338871279961048,23,19,"['age', 'iq']",0.1355485119844192
R_IFG,0.15456741448703554,0.5035064844692121,23,19,"['age', 'iq']",0.8789277002692616
L_Heschl,0.1517183198694219,0.5114993608218433,23,19,"['age', 'iq']",0.8789277002692616
R_Heschl,0.4659104500427942,0.03327893404728571,23,19,"['age', 'iq']",0.1355485119844192
