roi,pearson_r,pearson_p,spearman_rho,spearman_p,n,pearson_p_fdr,pearson_p_fdr_within_contrast
L_STG_posterior,-0.03540583281001919,0.872580941186885,0.051980299932067216,0.8137852515350869,23,0.9955223519165686,0.931260375974014
L_STG_anterior,-0.1298384169612882,0.5548777659159302,-0.06881201610054613,0.7550578152214412,23,0.9955223519165686,0.931260375974014
L_MTG,-0.07181549284463944,0.7447050999115626,-0.08564373226902505,0.697614252279818,23,0.9955223519165686,0.931260375974014
L_IFG_triangularis,-0.12824561155179132,0.5597841665689548,-0.11782201317935237,0.5923633434224375,23,0.9955223519165686,0.931260375974014
L_IFG_opercularis,-0.08310798390145976,0.7061749250903399,-0.05099019898098023,0.817273518705164,23,0.9955223519165686,0.931260375974014
L_STS,-0.12419176707981165,0.5723585436504883,-0.12475271983696135,0.5706111733535412,23,0.9955223519165686,0.931260375974014
R_STG_posterior,-0.05858184455532501,0.7906174367619877,-0.09801999415761248,0.6563584742997228,23,0.9955223519165686,0.931260375974014
R_STG_anterior,-0.12445883048953575,0.5715263463135881,-0.03613868471467531,0.8699650808745326,23,0.9955223519165686,0.931260375974014
R_MTG,-0.22572486440519796,0.3003832197046922,-0.23366382445653078,0.2832430003435609,23,0.9955223519165686,0.931260375974014
R_IFG,0.34975714691137305,0.1018432421525029,0.31584220339675134,0.14206576313385608,23,0.7777120309827493,0.931260375974014
L_Heschl,0.019046905083426355,0.931260375974014,0.07227736942935062,0.743116787752756,23,0.9955223519165686,0.931260375974014
R_Heschl,-0.02672494697727857,0.9036577534002614,-0.004950504755434974,0.9821146573999472,23,0.9955223519165686,0.931260375974014
