roi,partial_r,partial_p
L_STG_posterior,-0.06178242303970466,0.7794452974737516
L_STG_anterior,-0.12126071075310747,0.5815268485803557
L_MTG,-0.057328773647987594,0.7950024962943791
L_IFG_triangularis,-0.12144997927051923,0.5809329026910127
L_IFG_opercularis,-0.0491656055471716,0.8237105680603906
L_STS,-0.1090181622220186,0.6204897387151934
R_STG_posterior,-0.07554044904949518,0.7319248120599117
R_STG_anterior,-0.09216856699949652,0.6757518883107753
R_MTG,-0.2068126966108528,0.3437313230641426
R_IFG,0.3550443973031365,0.09642275525467599
L_Heschl,0.05447946337747024,0.8049956864957668
R_Heschl,-0.06971893552690817,0.7519273568831707
