roi,partial_r,partial_p,n,df,controlling_for,partial_p_fdr_within_contrast
L_STG_posterior,-0.061782423039704604,0.7902084090912548,23,19,"['age', 'iq']",0.9388686263772634
L_STG_anterior,-0.1212607107531074,0.6005575487132082,23,19,"['age', 'iq']",0.9388686263772634
L_MTG,-0.05732877364798761,0.8050403765696372,23,19,"['age', 'iq']",0.9388686263772634
L_IFG_triangularis,-0.12144997927051936,0.5999848661528383,23,19,"['age', 'iq']",0.9388686263772634
L_IFG_opercularis,-0.04916560554717144,0.8323907273822744,23,19,"['age', 'iq']",0.9388686263772634
L_STS,-0.10901816222201863,0.6380698528168113,23,19,"['age', 'iq']",0.9388686263772634
R_STG_posterior,-0.07554044904949507,0.7448495080862431,23,19,"['age', 'iq']",0.9388686263772634
R_STG_anterior,-0.09216856699949647,0.6911063915548072,23,19,"['age', 'iq']",0.9388686263772634
R_MTG,-0.20681269661085297,0.3683960958515549,23,19,"['age', 'iq']",0.9388686263772634
R_IFG,0.3550443973031366,0.11425581758783314,23,19,"['age', 'iq']",0.9388686263772634
L_Heschl,0.017825838402891363,0.9388686263772634,23,19,"['age', 'iq']",0.9388686263772634
R_Heschl,-0.03130984727832963,0.8928281427050617,23,19,"['age', 'iq']",0.9388686263772634
