roi,pearson_r,pearson_p,spearman_rho,spearman_p,n,pearson_p_fdr,pearson_p_fdr_within_contrast
L_STG_posterior,0.22553730616541603,0.30079573549294436,0.15990130360054966,0.4661213704385904,23,0.9955223519165686,0.5739108888729748
L_STG_anterior,0.21059434037518077,0.3347813518425687,0.1361388807744618,0.5356635522254776,23,0.9955223519165686,0.5739108888729748
L_MTG,-0.030185773434980172,0.8912493701083887,-0.029207978057066347,0.8947527640654089,23,0.9955223519165686,0.9316455882452629
L_IFG_triangularis,0.024304000395071978,0.9123509194875195,0.09306948940217749,0.6727525621863475,23,0.9955223519165686,0.9316455882452629
L_IFG_opercularis,0.04364450026243049,0.8432541068293056,-0.14702999123641872,0.5032012051423778,23,0.9955223519165686,0.9316455882452629
L_STS,0.05767611437304109,0.7937863873836071,-0.01534656474184842,0.9445924641438257,23,0.9955223519165686,0.9316455882452629
R_STG_posterior,0.534306592929619,0.00863018484123012,0.5074267374320849,0.013453244916647593,23,0.24164517555444334,0.10356221809476143
R_STG_anterior,0.01893992392865604,0.9316455882452629,0.010396059986413445,0.962450717627715,23,0.9955223519165686,0.9316455882452629
R_MTG,0.21373969995048833,0.3274443441096007,0.14108938552989675,0.5207877223972227,23,0.9955223519165686,0.5739108888729748
R_IFG,0.22199190292855425,0.30865920638803945,0.1490101931385927,0.4974043946430079,23,0.9955223519165686,0.5739108888729748
L_Heschl,0.22053390503126766,0.31192913717924464,0.10297049891304746,0.6401162893310692,23,0.9955223519165686,0.5739108888729748
R_Heschl,0.3633579879064947,0.08833620598116092,0.3574264433424051,0.09405178859872937,23,0.7653617994359592,0.5300172358869656
