roi,partial_r,partial_p
L_STG_posterior,0.2780731199225973,0.1988833399517166
L_STG_anterior,0.32995608538538895,0.12414676535189574
L_MTG,-0.015993259370117863,0.9422613292922088
L_IFG_triangularis,0.04280341434626103,0.8462395315831416
L_IFG_opercularis,0.10519447289322909,0.6328707538534817
L_STS,0.07116137142698047,0.7469562288542262
R_STG_posterior,0.5892394720897147,0.003090629164070494
R_STG_anterior,0.09815298682596436,0.6559201224268812
R_MTG,0.31313488688446456,0.14570283932351485
R_IFG,0.24101192054711335,0.2679373698296435
L_Heschl,0.29387428074178035,0.17349651874739544
R_Heschl,0.48474447125439574,0.019065137616012192
