roi,partial_r,partial_p,n,df,controlling_for,partial_p_fdr_within_contrast
L_STG_posterior,0.27807311992259737,0.22227037559698246,23,19,"['age', 'iq']",0.5015955464139635
L_STG_anterior,0.32995608538538895,0.1440875861248711,23,19,"['age', 'iq']",0.5007766022304163
L_MTG,-0.015993259370117807,0.9451435884019258,23,19,"['age', 'iq']",0.9451435884019258
L_IFG_triangularis,0.04280341434626102,0.8538386631335453,23,19,"['age', 'iq']",0.9314603597820494
L_IFG_opercularis,0.1051944728932291,0.6499683224012737,23,19,"['age', 'iq']",0.8961253424098837
L_STS,0.07116137142698047,0.7592066191330055,23,19,"['age', 'iq']",0.9110479429596066
R_STG_posterior,0.5892394720897148,0.0049421762576982884,23,19,"['age', 'iq']",0.059306115092379465
R_STG_anterior,0.09815298682596453,0.6720940068074128,23,19,"['age', 'iq']",0.8961253424098837
R_MTG,0.31313488688446456,0.1669255340768054,23,19,"['age', 'iq']",0.5007766022304163
R_IFG,0.24101192054711348,0.29259740207481205,23,19,"['age', 'iq']",0.5015955464139635
L_Heschl,0.2443953311214559,0.2856656371019319,23,19,"['age', 'iq']",0.5015955464139635
R_Heschl,0.4579660423505298,0.03682471692330053,23,19,"['age', 'iq']",0.22094830153980316
