roi,pearson_r,pearson_p,spearman_rho,spearman_p,n,pearson_p_fdr,pearson_p_fdr_within_contrast
L_STG_posterior,0.41144300488304375,0.051109757722782125,0.3569313928668616,0.09454093590384631,23,0.6133170926733855,0.6133170926733855
L_STG_anterior,0.31232705449264875,0.1468007746422033,0.3029708910326204,0.15994610604696866,23,0.9485588515342368,0.8808046478532199
L_MTG,-0.06921503809007577,0.7536662210355698,-0.13514877982337478,0.5386623149860356,23,0.9955223519165686,0.9615404349269842
L_IFG_triangularis,-0.02342851992295702,0.9154970517067383,0.06188130944293717,0.7791007776888871,23,0.9955223519165686,0.9615404349269842
L_IFG_opercularis,0.04926320398813854,0.8233659648481154,0.037128785665762304,0.8664330867869023,23,0.9955223519165686,0.9615404349269842
L_STS,0.048018475556480616,0.8277632300923492,0.009901009510869948,0.9642376410189315,23,0.9955223519165686,0.9615404349269842
R_STG_posterior,0.1896137264858829,0.38619182811683767,0.2450499853940312,0.25975506251802655,23,0.9955223519165686,0.9615404349269842
R_STG_anterior,0.010648263796183454,0.9615404349269842,0.05396050183424122,0.8068190349078042,23,0.9955223519165686,0.9615404349269842
R_MTG,-0.17910784055587078,0.4135211272891508,-0.13712898172554877,0.5326726042137441,23,0.9955223519165686,0.9615404349269842
R_IFG,0.14125812414399308,0.5202841774499877,0.23613907683424826,0.278027176575147,23,0.9955223519165686,0.9615404349269842
L_Heschl,0.2332814050957681,0.2840542688789327,0.19554493783968147,0.37122608162875176,23,0.9955223519165686,0.9615404349269842
R_Heschl,0.08598916606041376,0.6964507973862416,0.05099019898098023,0.817273518705164,23,0.9955223519165686,0.9615404349269842
