roi,partial_r,partial_p
L_STG_posterior,0.42448621844033435,0.04350140518228509
L_STG_anterior,0.3768581911990483,0.07629851343356431
L_MTG,-0.021976860210894046,0.9207164273703918
L_IFG_triangularis,0.0051038730078718664,0.9815606536875159
L_IFG_opercularis,0.06890571792477973,0.7547342063985732
L_STS,0.07317026230881533,0.7400491620868759
R_STG_posterior,0.21442876845771486,0.3258500088528618
R_STG_anterior,0.04168057767619472,0.8502282103300007
R_MTG,-0.16740292091124362,0.4451791844178181
R_IFG,0.16398452327710955,0.4546600201556665
L_Heschl,0.33593003132132637,0.11707682060374722
R_Heschl,0.19766461229324173,0.36595972906305185
