roi,partial_r,partial_p,n,df,controlling_for,partial_p_fdr_within_contrast
L_STG_posterior,0.4244862184403346,0.0551158349657268,23,19,"['age', 'iq']",0.5531153926623974
L_STG_anterior,0.37685819119904834,0.09218589877706623,23,19,"['age', 'iq']",0.5531153926623974
L_MTG,-0.021976860210894098,0.9246684913460333,23,19,"['age', 'iq']",0.9824824689043643
L_IFG_triangularis,0.005103873007871832,0.9824824689043643,23,19,"['age', 'iq']",0.9824824689043643
L_IFG_opercularis,0.06890571792477974,0.7666321202568156,23,19,"['age', 'iq']",0.9824824689043643
L_STS,0.0731702623088153,0.7526105521897568,23,19,"['age', 'iq']",0.9824824689043643
R_STG_posterior,0.214428768457715,0.35062034531226616,23,19,"['age', 'iq']",0.9549369603847994
R_STG_anterior,0.04168057767619476,0.857634681881216,23,19,"['age', 'iq']",0.9824824689043643
R_MTG,-0.1674029209112437,0.4682648966261588,23,19,"['age', 'iq']",0.9549369603847994
R_IFG,0.16398452327710958,0.47752594762661965,23,19,"['age', 'iq']",0.9549369603847994
L_Heschl,0.32036984485837733,0.15681550935409067,23,19,"['age', 'iq']",0.6272620374163627
R_Heschl,0.1358680042670181,0.5570465602244663,23,19,"['age', 'iq']",0.9549369603847994
