contrast,roi,comparison,cohens_d,d_ci_lower,d_ci_upper,interpretation
words_vs_baseline,L_STG_posterior,HC_vs_AVH-,0.18153807333351213,-0.3793506334066464,0.7703054514936526,negligible
words_vs_baseline,L_STG_posterior,HC_vs_AVH+,0.4015935181608399,-0.18120375017587204,0.9827244876325494,small
words_vs_baseline,L_STG_posterior,AVH-_vs_AVH+,0.2260076772455729,-0.37155486931609105,0.8082038390158158,small
words_vs_baseline,L_STG_anterior,HC_vs_AVH-,-0.2820625867849226,-0.8169541846551021,0.31471542616441767,small
words_vs_baseline,L_STG_anterior,HC_vs_AVH+,-0.49278292541779556,-0.9955701777219804,0.03455652930488476,small
words_vs_baseline,L_STG_anterior,AVH-_vs_AVH+,-0.1528479381975098,-0.8139733719071622,0.4117014334288819,negligible
words_vs_baseline,L_MTG,HC_vs_AVH-,0.030890166673746135,-0.5444961864273422,0.6158137292151699,negligible
words_vs_baseline,L_MTG,HC_vs_AVH+,0.3081763901912983,-0.27107900610307256,0.9332105129330565,small
words_vs_baseline,L_MTG,AVH-_vs_AVH+,0.2464949733077076,-0.27622337803359526,0.835893853969623,small
words_vs_baseline,L_IFG_triangularis,HC_vs_AVH-,0.17412825248601924,-0.3559818702935121,0.8278001828943297,negligible
words_vs_baseline,L_IFG_triangularis,HC_vs_AVH+,0.22108620873685841,-0.33180968302735075,0.7405121299102794,small
words_vs_baseline,L_IFG_triangularis,AVH-_vs_AVH+,-0.01278181713037057,-0.6844786199141466,0.5450058794146206,negligible
words_vs_baseline,L_IFG_opercularis,HC_vs_AVH-,-0.3483034023906839,-0.8412883039429303,0.19612136867843738,small
words_vs_baseline,L_IFG_opercularis,HC_vs_AVH+,0.11037637632064183,-0.4398066932336494,0.6960927584843823,negligible
words_vs_baseline,L_IFG_opercularis,AVH-_vs_AVH+,0.436252688156756,-0.10215443813781162,0.9607435886300251,small
words_vs_baseline,L_STS,HC_vs_AVH-,0.2593213477523655,-0.3022165038233172,0.9332612640862834,small
words_vs_baseline,L_STS,HC_vs_AVH+,0.4263288017048466,-0.15620199249346622,1.0601589440101635,small
words_vs_baseline,L_STS,AVH-_vs_AVH+,0.11524886389903646,-0.49216533232201076,0.7338583158486941,negligible
words_vs_baseline,R_STG_posterior,HC_vs_AVH-,0.002336641288377656,-0.5284719033120291,0.609895365747685,negligible
words_vs_baseline,R_STG_posterior,HC_vs_AVH+,0.04925976129289748,-0.4926879746606186,0.7020953721609537,negligible
words_vs_baseline,R_STG_posterior,AVH-_vs_AVH+,0.044526378837473506,-0.5785431059355884,0.6104450257620988,negligible
words_vs_baseline,R_STG_anterior,HC_vs_AVH-,0.10457240101091211,-0.4130397958133485,0.8413543576222025,negligible
words_vs_baseline,R_STG_anterior,HC_vs_AVH+,-0.21259241339778343,-0.7930101678627604,0.3887854824881824,small
words_vs_baseline,R_STG_anterior,AVH-_vs_AVH+,-0.24948044107439432,-0.892815377000753,0.32463635225510257,small
words_vs_baseline,R_MTG,HC_vs_AVH-,-0.09967685480126849,-0.5964397213981987,0.5550870802161536,negligible
words_vs_baseline,R_MTG,HC_vs_AVH+,0.2521072325871289,-0.3050259505118826,0.9243773260626784,small
words_vs_baseline,R_MTG,AVH-_vs_AVH+,0.30989314924147954,-0.28197145785467187,0.8844704071727316,small
words_vs_baseline,R_IFG,HC_vs_AVH-,0.19287604471368622,-0.32975261003400386,0.9301961333812993,negligible
words_vs_baseline,R_IFG,HC_vs_AVH+,0.18393716933027596,-0.39067881552083444,0.7864920649641894,negligible
words_vs_baseline,R_IFG,AVH-_vs_AVH+,-0.04860048453698084,-0.7450873734885243,0.47890949376656916,negligible
words_vs_baseline,L_Heschl,HC_vs_AVH-,-0.14171564404257936,-0.58329560637464,0.5296791200780041,negligible
words_vs_baseline,L_Heschl,HC_vs_AVH+,-0.15426915471899244,-0.6226825769811285,0.4814336332060687,negligible
words_vs_baseline,L_Heschl,AVH-_vs_AVH+,-0.001673835318100086,-0.6718527847650724,0.5306406133357278,negligible
words_vs_baseline,R_Heschl,HC_vs_AVH-,0.11739607400578955,-0.3981375811083164,0.7955890811811966,negligible
words_vs_baseline,R_Heschl,HC_vs_AVH+,0.3926545337929346,-0.12971626836265168,1.0584786697308826,small
words_vs_baseline,R_Heschl,AVH-_vs_AVH+,0.21639186183051423,-0.3743530516637216,0.7548758586183099,small
sentences_vs_baseline,L_STG_posterior,HC_vs_AVH-,0.3467737482238573,-0.2469286803915011,0.8367669147941622,small
sentences_vs_baseline,L_STG_posterior,HC_vs_AVH+,0.3067578869335177,-0.2633261720252342,0.8708510414999854,small
sentences_vs_baseline,L_STG_posterior,AVH-_vs_AVH+,-0.022283732836911905,-0.605033605351836,0.5853892218326482,negligible
sentences_vs_baseline,L_STG_anterior,HC_vs_AVH-,-0.05332843670673195,-0.6445172696693111,0.542651249622231,negligible
sentences_vs_baseline,L_STG_anterior,HC_vs_AVH+,-0.20320055804725592,-0.8255344916151576,0.3747409305374727,small
sentences_vs_baseline,L_STG_anterior,AVH-_vs_AVH+,-0.1456208140361354,-0.7147990724323557,0.44731599046681125,negligible
sentences_vs_baseline,L_MTG,HC_vs_AVH-,0.17582941012111916,-0.41639390108162105,0.7758076932157769,negligible
sentences_vs_baseline,L_MTG,HC_vs_AVH+,0.02978978403623859,-0.5819548706478216,0.6352386228800703,negligible
sentences_vs_baseline,L_MTG,AVH-_vs_AVH+,-0.1221567682821504,-0.7600636265537252,0.48442737887093984,negligible
sentences_vs_baseline,L_IFG_triangularis,HC_vs_AVH-,0.24469564235416832,-0.34882759869640523,0.80408137203047,small
sentences_vs_baseline,L_IFG_triangularis,HC_vs_AVH+,0.22536650288122503,-0.4444981809037875,0.7829268515928459,small
sentences_vs_baseline,L_IFG_triangularis,AVH-_vs_AVH+,-0.08386798029693807,-0.6945180452497333,0.4907762173779283,negligible
sentences_vs_baseline,L_IFG_opercularis,HC_vs_AVH-,-0.14393844751179802,-0.7795671027278311,0.43621118347010746,negligible
sentences_vs_baseline,L_IFG_opercularis,HC_vs_AVH+,0.2514932512415431,-0.35153353276452265,0.9028331606475183,small
sentences_vs_baseline,L_IFG_opercularis,AVH-_vs_AVH+,0.3095378947004301,-0.2958565089499787,1.0264801038604578,small
sentences_vs_baseline,L_STS,HC_vs_AVH-,0.5390243098364981,-0.08202591070587051,1.1460336969873333,medium
sentences_vs_baseline,L_STS,HC_vs_AVH+,0.30151849491197946,-0.27724077737857195,0.9613380475829172,small
sentences_vs_baseline,L_STS,AVH-_vs_AVH+,-0.19090106779148203,-0.7699723981194152,0.3815248093483988,negligible
sentences_vs_baseline,R_STG_posterior,HC_vs_AVH-,0.04931579933939163,-0.4860467035007006,0.7079035625601102,negligible
sentences_vs_baseline,R_STG_posterior,HC_vs_AVH+,0.08830555305492736,-0.46913990606547773,0.7471473140975731,negligible
sentences_vs_baseline,R_STG_posterior,AVH-_vs_AVH+,0.04977201990918037,-0.4970418487071556,0.6829122214768226,negligible
sentences_vs_baseline,R_STG_anterior,HC_vs_AVH-,0.6671679737578081,0.10281334403344829,1.2602869612687024,medium
sentences_vs_baseline,R_STG_anterior,HC_vs_AVH+,0.04235741555748508,-0.549442117652101,0.5933850721946446,negligible
sentences_vs_baseline,R_STG_anterior,AVH-_vs_AVH+,-0.5830713894986724,-1.164441772305556,-0.044742815972123276,medium
sentences_vs_baseline,R_MTG,HC_vs_AVH-,-0.1389977486751409,-0.7076482001627898,0.48181542365174024,negligible
sentences_vs_baseline,R_MTG,HC_vs_AVH+,0.13654035998312775,-0.42098744336399513,0.7165476938738583,negligible
sentences_vs_baseline,R_MTG,AVH-_vs_AVH+,0.2592466488447423,-0.29531421548678555,0.8484379656702882,small
sentences_vs_baseline,R_IFG,HC_vs_AVH-,0.15672764966210154,-0.49427441901521313,0.685923565067615,negligible
sentences_vs_baseline,R_IFG,HC_vs_AVH+,0.13265609778146614,-0.5001717588470342,0.6788387843429105,negligible
