roi,eta_squared,omega_squared,interpretation
L_STG_posterior,0.029220343957646697,0.0006585988626168743,small
L_STG_anterior,0.005810961488826962,-0.023092273682538716,negligible
L_MTG,0.008972371943641113,-0.019885686749608614,negligible
L_IFG_triangularis,0.02801273592122123,-0.0005670198448070809,small
L_IFG_opercularis,0.0027126413493577008,-0.026234583631323225,negligible
L_STS,0.012875344390225174,-0.015926535540786504,small
R_STG_posterior,0.021273962773313903,-0.007405509426085141,small
R_STG_anterior,0.08281965745588903,0.05510057148359604,medium
R_MTG,0.0073644803588306116,-0.021516591788398147,negligible
R_IFG,0.017848171739655243,-0.010881481054590973,small
L_Heschl,0.015037111002208354,-0.013733460020408497,small
R_Heschl,0.029055405459829754,0.0004911978861134055,small
