roi,comparison,cohens_d,d_ci_lower,d_ci_upper,hedges_g,interpretation
L_STG_posterior,HC_vs_AVH-,0.37987943866478635,-0.19435460655333112,0.9379468021184866,0.3736519068833964,small
L_STG_posterior,HC_vs_AVH+,0.24602449542186824,-0.2709306736582805,0.839096439133489,0.24199130697232943,small
L_STG_posterior,AVH-_vs_AVH+,-0.16753726385790316,-0.8067647250434268,0.37586298296426573,-0.16466519647748196,negligible
L_STG_anterior,HC_vs_AVH-,0.034017581616252776,-0.5506115581081038,0.5904204499119483,0.03345991634385519,negligible
L_STG_anterior,HC_vs_AVH+,-0.13143519774001877,-0.7529473911400028,0.4364208397379107,-0.1292805223672316,negligible
L_STG_anterior,AVH-_vs_AVH+,-0.19365795033210098,-0.7756759867069234,0.39803738191028026,-0.19033809975497926,negligible
L_MTG,HC_vs_AVH-,0.03634166928231303,-0.5448221456380555,0.687283309318446,0.03574590421211117,negligible
L_MTG,HC_vs_AVH+,0.21049515274929428,-0.3594301232433578,0.7840909576303104,0.20704441254028946,small
L_MTG,AVH-_vs_AVH+,0.168255331485795,-0.4457544713433818,0.7099095790496674,0.16537095437460994,negligible
L_IFG_triangularis,HC_vs_AVH-,0.36903999871154186,-0.18497030905567655,0.9500286063341952,0.36299016266709033,small
L_IFG_triangularis,HC_vs_AVH+,0.1566161479098249,-0.4007319387380407,0.7417921011695703,0.1540486700752376,negligible
L_IFG_triangularis,AVH-_vs_AVH+,-0.2748293329910936,-0.8161072279373639,0.2871519924973987,-0.27011797299696055,small
L_IFG_opercularis,HC_vs_AVH-,0.02693026332243478,-0.5513840293892338,0.6125818901380926,0.02648878359583749,negligible
L_IFG_opercularis,HC_vs_AVH+,0.12264284361680312,-0.4679912949205594,0.7546336019345464,0.12063230519685553,negligible
L_IFG_opercularis,AVH-_vs_AVH+,0.0917342412916157,-0.5128067525291823,0.6886343894603436,0.09016165429804514,negligible
L_STS,HC_vs_AVH-,0.19050809599732813,-0.3848353031324765,0.7931863226793745,0.1873850124563883,negligible
L_STS,HC_vs_AVH+,0.2675744310782582,-0.23926352658688982,0.8611376974984923,0.263187964995008,small
L_STS,AVH-_vs_AVH+,0.06347831105726286,-0.5222458467392265,0.6559155966375874,0.06239011143913835,negligible
R_STG_posterior,HC_vs_AVH-,0.39113062721388875,-0.14984238431013452,1.037832131829325,0.3847186497185791,small
R_STG_posterior,HC_vs_AVH+,0.19483538104352968,-0.3195903249814481,0.9365707911147115,0.19164135840347182,negligible
R_STG_posterior,AVH-_vs_AVH+,-0.13755249162587713,-0.6808949016681836,0.4746407755224303,-0.13519444891229065,negligible
R_STG_anterior,HC_vs_AVH-,0.5738241473875701,0.03670099234692677,1.1759225853971238,0.5644171941517083,medium
R_STG_anterior,HC_vs_AVH+,-0.05166082007238694,-0.6055762124619831,0.5380017654060376,-0.05081392138267568,negligible
R_STG_anterior,AVH-_vs_AVH+,-0.7300729870148299,-1.3485482587270696,-0.2314688070350445,-0.7175574500945757,medium
R_MTG,HC_vs_AVH-,0.09109811029087445,-0.4332393872346031,0.7081560708890566,0.08960469864676175,negligible
R_MTG,HC_vs_AVH+,0.23849621702953674,-0.27599365704465095,0.887149202980447,0.2345864429798722,small
R_MTG,AVH-_vs_AVH+,0.10216496705765239,-0.5102740904623445,0.7191998663282225,0.10041356762237835,negligible
R_IFG,HC_vs_AVH-,0.2626615275513203,-0.2806789833639903,0.9026339136957025,0.2583556008701511,small
R_IFG,HC_vs_AVH+,-0.028472310570575247,-0.629217731412076,0.539870246973326,-0.028005551380893685,negligible
R_IFG,AVH-_vs_AVH+,-0.2749088778585368,-0.9167741577755536,0.28982103109023877,-0.2701961542381047,small
L_Heschl,HC_vs_AVH-,0.262307133974551,-0.34043539785279914,0.7873650492495269,0.2580070170241485,small
L_Heschl,HC_vs_AVH+,0.05556528343996784,-0.5108790375209826,0.6084950546390286,0.05465437715406673,negligible
L_Heschl,AVH-_vs_AVH+,-0.27478153976031316,-0.8691059366902657,0.27710225333491717,-0.2700709990787078,small
R_Heschl,HC_vs_AVH-,0.4064770421493175,-0.17165744626856622,1.0325131219393635,0.3998134840812959,small
R_Heschl,HC_vs_AVH+,0.2401182959897735,-0.2961976563305111,0.8187943375173901,0.2361819304817444,small
R_Heschl,AVH-_vs_AVH+,-0.17043037596673916,-0.8428336750840172,0.3840619683919583,-0.1675087123787379,negligible
