roi,eta_squared,omega_squared,interpretation
L_STG_posterior,0.028111445280528526,-0.0004668399117048724,small
L_STG_anterior,0.00737295354699691,-0.0215079975243022,negligible
L_MTG,0.005273818190305961,-0.02363706353991659,negligible
L_IFG_triangularis,0.013623768591646768,-0.015167287452161412,small
L_IFG_opercularis,0.02165653234701023,-0.00701731458564634,small
L_STS,0.04354998502246551,0.015205233902627655,small
R_STG_posterior,0.0015884753817979817,-0.02737464068430368,negligible
R_STG_anterior,0.08272555032624321,0.055004910642617116,medium
R_MTG,0.012164187343902674,-0.01664796224432532,small
R_IFG,0.0047106992398393294,-0.024208189720466098,negligible
L_Heschl,0.006655686890824396,-0.02223550594503944,negligible
R_Heschl,0.03101142436368825,0.0024764710775896943,small
