roi,comparison,cohens_d,d_ci_lower,d_ci_upper,interpretation
L_STG_posterior,HC_vs_AVH-,0.3467737482238573,-0.17181148812930877,0.839738374995921,small
L_STG_posterior,HC_vs_AVH+,0.3067578869335177,-0.259872065125625,0.8037343696447816,small
L_STG_posterior,AVH-_vs_AVH+,-0.022283732836911905,-0.6004136353215345,0.5976076103495958,negligible
L_STG_anterior,HC_vs_AVH-,-0.05332843670673195,-0.6959578665748524,0.5628509204119984,negligible
L_STG_anterior,HC_vs_AVH+,-0.20320055804725592,-0.799933490974712,0.3465814692903098,small
L_STG_anterior,AVH-_vs_AVH+,-0.1456208140361354,-0.7540155659457799,0.4327320826586643,negligible
L_MTG,HC_vs_AVH-,0.17582941012111916,-0.37066800252669396,0.8277574672326938,negligible
L_MTG,HC_vs_AVH+,0.02978978403623859,-0.5672187920889684,0.6298164784063336,negligible
L_MTG,AVH-_vs_AVH+,-0.1221567682821504,-0.7097201534690012,0.493756792695673,negligible
L_IFG_triangularis,HC_vs_AVH-,0.24469564235416832,-0.3109429282528806,0.8907903213898475,small
L_IFG_triangularis,HC_vs_AVH+,0.22536650288122503,-0.35514140288774304,0.774391532017164,small
L_IFG_triangularis,AVH-_vs_AVH+,-0.08386798029693807,-0.6958366840563026,0.5178402912602112,negligible
L_IFG_opercularis,HC_vs_AVH-,-0.14393844751179802,-0.8694406305745881,0.40438998572236085,negligible
L_IFG_opercularis,HC_vs_AVH+,0.2514932512415431,-0.2844290717218918,0.8818869424193528,small
L_IFG_opercularis,AVH-_vs_AVH+,0.3095378947004301,-0.2372166644726059,1.004453162449885,small
L_STS,HC_vs_AVH-,0.5390243098364981,0.01995258726254828,1.1461413466898749,medium
L_STS,HC_vs_AVH+,0.30151849491197946,-0.26918784357787007,0.8654127719029665,small
L_STS,AVH-_vs_AVH+,-0.19090106779148203,-0.7478276438316811,0.40698619241846,negligible
R_STG_posterior,HC_vs_AVH-,0.04931579933939163,-0.45316591953413965,0.6989618373683588,negligible
R_STG_posterior,HC_vs_AVH+,0.08830555305492736,-0.46504503671327924,0.8119580028373038,negligible
R_STG_posterior,AVH-_vs_AVH+,0.04977201990918037,-0.49254563050594746,0.7143174784412644,negligible
R_STG_anterior,HC_vs_AVH-,0.6671679737578081,0.17422359959033393,1.2474217310275013,medium
R_STG_anterior,HC_vs_AVH+,0.04235741555748508,-0.5636163313842212,0.6026606750140361,negligible
R_STG_anterior,AVH-_vs_AVH+,-0.5830713894986724,-1.1692041014433845,-0.04474857329460896,medium
R_MTG,HC_vs_AVH-,-0.1389977486751409,-0.6700452613225271,0.4675017827394013,negligible
R_MTG,HC_vs_AVH+,0.13654035998312775,-0.3820311827351481,0.7189857620628777,negligible
R_MTG,AVH-_vs_AVH+,0.2592466488447423,-0.3310009452155146,0.8672772171274222,small
R_IFG,HC_vs_AVH-,0.15672764966210154,-0.4381633536580707,0.7066683583778952,negligible
R_IFG,HC_vs_AVH+,0.13265609778146614,-0.43006852724657524,0.7071674066895891,negligible
R_IFG,AVH-_vs_AVH+,-0.03171380655433901,-0.5850900207137858,0.5959249584478709,negligible
L_Heschl,HC_vs_AVH-,-0.046495798036975323,-0.605077928018436,0.5273650400681104,negligible
L_Heschl,HC_vs_AVH+,0.13119592967854682,-0.43659737927861153,0.7688803279693683,negligible
L_Heschl,AVH-_vs_AVH+,0.19026968395144445,-0.332216367368646,0.7867249744443333,negligible
R_Heschl,HC_vs_AVH-,-0.0754299911606972,-0.6968867281308619,0.48731884092845673,negligible
R_Heschl,HC_vs_AVH+,0.25679668522522825,-0.3557611450231595,0.7517445184677304,small
R_Heschl,AVH-_vs_AVH+,0.30811927869118466,-0.2921851943383286,0.8652096039753608,small
