roi,comparison,cohens_d,d_ci_lower,d_ci_upper,hedges_g,interpretation
L_STG_posterior,HC_vs_AVH-,0.3467737482238573,-0.2469286803915011,0.8367669147941622,0.3410889326792039,small
L_STG_posterior,HC_vs_AVH+,0.3067578869335177,-0.2633261720252342,0.8708510414999854,0.3017290691149354,small
L_STG_posterior,AVH-_vs_AVH+,-0.022283732836911905,-0.605033605351836,0.5853892218326482,-0.02190172598827913,negligible
L_STG_anterior,HC_vs_AVH-,-0.05332843670673195,-0.6445172696693111,0.542651249622231,-0.052454200039408476,negligible
L_STG_anterior,HC_vs_AVH+,-0.20320055804725592,-0.8255344916151576,0.3747409305374727,-0.19986940135795664,small
L_STG_anterior,AVH-_vs_AVH+,-0.1456208140361354,-0.7147990724323557,0.44731599046681125,-0.14312445722408734,negligible
L_MTG,HC_vs_AVH-,0.17582941012111916,-0.41639390108162105,0.7758076932157769,0.17294696077487132,negligible
L_MTG,HC_vs_AVH+,0.02978978403623859,-0.5819548706478216,0.6352386228800703,0.029301426920890418,negligible
L_MTG,AVH-_vs_AVH+,-0.1221567682821504,-0.7600636265537252,0.48442737887093984,-0.12006265225445639,negligible
L_IFG_triangularis,HC_vs_AVH-,0.24469564235416832,-0.34882759869640523,0.80408137203047,0.24068423838114916,small
L_IFG_triangularis,HC_vs_AVH+,0.22536650288122503,-0.4444981809037875,0.7829268515928459,0.2216719700471066,small
L_IFG_triangularis,AVH-_vs_AVH+,-0.08386798029693807,-0.6945180452497333,0.4907762173779283,-0.0824302434918477,negligible
L_IFG_opercularis,HC_vs_AVH-,-0.14393844751179802,-0.7795671027278311,0.43621118347010746,-0.14157880083127675,negligible
L_IFG_opercularis,HC_vs_AVH+,0.2514932512415431,-0.35153353276452265,0.9028331606475183,0.2473704110572555,small
L_IFG_opercularis,AVH-_vs_AVH+,0.3095378947004301,-0.2958565089499787,1.0264801038604578,0.30423153079127985,small
L_STS,HC_vs_AVH-,0.5390243098364981,-0.08202591070587051,1.1460336969873333,0.5301878457408178,medium
L_STS,HC_vs_AVH+,0.30151849491197946,-0.27724077737857195,0.9613380475829172,0.2965755687658814,small
L_STS,AVH-_vs_AVH+,-0.19090106779148203,-0.7699723981194152,0.3815248093483988,-0.18762847805791377,negligible
R_STG_posterior,HC_vs_AVH-,0.04931579933939163,-0.4860467035007006,0.7079035625601102,0.04850734361251636,negligible
R_STG_posterior,HC_vs_AVH+,0.08830555305492736,-0.46913990606547773,0.7471473140975731,0.08685792103763347,negligible
R_STG_posterior,AVH-_vs_AVH+,0.04977201990918037,-0.4970418487071556,0.6829122214768226,0.04891878528216585,negligible
R_STG_anterior,HC_vs_AVH-,0.6671679737578081,0.10281334403344829,1.2602869612687024,0.6562307938601392,medium
R_STG_anterior,HC_vs_AVH+,0.04235741555748508,-0.549442117652101,0.5933850721946446,0.04166303169588696,negligible
R_STG_anterior,AVH-_vs_AVH+,-0.5830713894986724,-1.164441772305556,-0.044742815972123276,-0.5730758799644095,medium
R_MTG,HC_vs_AVH-,-0.1389977486751409,-0.7076482001627898,0.48181542365174024,-0.13671909705751562,negligible
R_MTG,HC_vs_AVH+,0.13654035998312775,-0.42098744336399513,0.7165476938738583,0.13430199342602728,negligible
R_MTG,AVH-_vs_AVH+,0.2592466488447423,-0.29531421548678555,0.8484379656702882,0.25480242057883246,small
R_IFG,HC_vs_AVH-,0.15672764966210154,-0.49427441901521313,0.685923565067615,0.15415834392993594,negligible
R_IFG,HC_vs_AVH+,0.13265609778146614,-0.5001717588470342,0.6788387843429105,0.13048140765390112,negligible
R_IFG,AVH-_vs_AVH+,-0.03171380655433901,-0.6057354567888864,0.5637671988377948,-0.03117014129912177,negligible
L_Heschl,HC_vs_AVH-,-0.1186565347606015,-0.6328550722825549,0.4387175129010685,-0.11671134566616541,negligible
L_Heschl,HC_vs_AVH+,0.08396220668574161,-0.48224677547335737,0.8360740464729289,0.08258577706794257,negligible
L_Heschl,AVH-_vs_AVH+,0.19603729134719816,-0.4054758203976255,0.8372263877153048,0.19267665206696047,negligible
R_Heschl,HC_vs_AVH-,-0.07193363551301404,-0.6339065956165656,0.4691278329594104,-0.07075439558657119,negligible
R_Heschl,HC_vs_AVH+,0.3285131570002629,-0.2533948473846144,0.8812603365925861,0.3231276954100947,small
R_Heschl,AVH-_vs_AVH+,0.36817573300290657,-0.21270416535240616,0.9462374950583498,0.36186414900857106,small
