roi,eta_squared,omega_squared,interpretation
L_STG_posterior,0.0249699031537691,-0.003655044135278892,small
L_STG_anterior,0.0713165007964958,0.04340943282036253,medium
L_MTG,0.12984626837655638,0.1029362997211337,medium
L_IFG_triangularis,0.024185919884925636,-0.0044506268196942665,small
L_IFG_opercularis,0.008749485219983479,-0.020111768148106026,negligible
L_STS,0.12546306846186556,0.09847492403574873,medium
R_STG_posterior,0.024341918557945222,-0.004292321511369401,small
R_STG_anterior,0.00916700172249199,-0.019688266112970015,negligible
R_MTG,0.04416591114219302,0.015830622519145184,small
R_IFG,0.018432099282636293,-0.010289024616503079,small
L_Heschl,0.012458618495467668,-0.01634928108366608,small
R_Heschl,0.020389980840325932,-0.008302472875942792,small
