roi,comparison,cohens_d,d_ci_lower,d_ci_upper,interpretation
L_STG_posterior,HC_vs_AVH-,0.067017144090848,-0.4800784642956136,0.6735879282771964,negligible
L_STG_posterior,HC_vs_AVH+,-0.2635884292597379,-0.8754739292689321,0.28197615114227753,small
L_STG_posterior,AVH-_vs_AVH+,-0.49564075038829714,-1.0332510108882849,0.08001263648556016,small
L_STG_anterior,HC_vs_AVH-,0.3697346470438594,-0.1641923174996782,0.9254277279060253,small
L_STG_anterior,HC_vs_AVH+,-0.30138742895291026,-0.8839380069723565,0.23800603528677833,small
L_STG_anterior,AVH-_vs_AVH+,-0.6814072034300929,-1.2566079186433887,-0.1800238086799888,medium
L_MTG,HC_vs_AVH-,0.3723266321449531,-0.1905502617634594,0.9451569428268204,small
L_MTG,HC_vs_AVH+,-0.5736514071921166,-1.1641841466668337,-0.050562737534763244,medium
L_MTG,AVH-_vs_AVH+,-0.8882515502074201,-1.4853062946142486,-0.35725701370910645,large
L_IFG_triangularis,HC_vs_AVH-,0.12327180079323292,-0.4623895799179813,0.7523771720679133,negligible
L_IFG_triangularis,HC_vs_AVH+,-0.31026174953073615,-0.8928555785843181,0.24636205179016502,small
L_IFG_triangularis,AVH-_vs_AVH+,-0.33947961023518725,-0.9640444561722252,0.19886513708943787,small
L_IFG_opercularis,HC_vs_AVH-,-0.026833835405339193,-0.6260816110922655,0.4660186394136487,negligible
L_IFG_opercularis,HC_vs_AVH+,-0.19010525033542222,-0.7808864452875975,0.38152590549368187,negligible
L_IFG_opercularis,AVH-_vs_AVH+,-0.1920525248616239,-0.7587237887461279,0.388639404811466,negligible
L_STS,HC_vs_AVH-,0.6168359836217935,0.1266881461674321,1.2963186924917467,medium
L_STS,HC_vs_AVH+,-0.28160639912611046,-0.8313493446478567,0.29827185117688826,small
L_STS,AVH-_vs_AVH+,-0.9174636987180219,-1.4629671973165184,-0.4239821539913689,large
R_STG_posterior,HC_vs_AVH-,-0.23350490228417228,-0.8555398941712209,0.3186256407248378,small
R_STG_posterior,HC_vs_AVH+,-0.3742113057810119,-1.0923229200457514,0.19461747216559655,small
R_STG_posterior,AVH-_vs_AVH+,-0.15092516596112615,-0.7953371148248911,0.4636733121962096,negligible
R_STG_anterior,HC_vs_AVH-,-0.010930936604289038,-0.5758081723808341,0.5442424648042467,negligible
R_STG_anterior,HC_vs_AVH+,-0.19355332019541346,-0.7095019906044887,0.4027027642845285,negligible
R_STG_anterior,AVH-_vs_AVH+,-0.22852397814833958,-0.7823774573920768,0.344774037592583,small
R_MTG,HC_vs_AVH-,0.0946514935505748,-0.46283533285128275,0.679172149607144,negligible
R_MTG,HC_vs_AVH+,-0.39755034099610026,-1.007642454515246,0.16852445170497082,small
R_MTG,AVH-_vs_AVH+,-0.5040045004161956,-1.1161590001850807,0.02601261770989966,medium
R_IFG,HC_vs_AVH-,0.19078146022540537,-0.4546709400433551,0.7399496900800842,negligible
R_IFG,HC_vs_AVH+,-0.1488265971058158,-0.7990858383942855,0.38614296173648677,negligible
R_IFG,AVH-_vs_AVH+,-0.3232176712508346,-0.9270911113847969,0.2529118180625336,small
L_Heschl,HC_vs_AVH-,-0.18839058508878143,-0.7918448528991752,0.34840910685945264,negligible
L_Heschl,HC_vs_AVH+,-0.213871199700118,-0.7423967901521092,0.41662443358002704,small
L_Heschl,AVH-_vs_AVH+,-0.05242204898153232,-0.5367390192106886,0.5809933519696951,negligible
R_Heschl,HC_vs_AVH-,-0.35404935321706427,-0.9651529262575193,0.17604986161554637,small
R_Heschl,HC_vs_AVH+,-0.3075532373122901,-0.945131168999688,0.26854682991060314,small
R_Heschl,AVH-_vs_AVH+,0.041232760714681106,-0.47998852438028294,0.7066804229437307,negligible
