roi,comparison,cohens_d,d_ci_lower,d_ci_upper,hedges_g,interpretation
L_STG_posterior,HC_vs_AVH-,0.067017144090848,-0.47852508876661304,0.6553524496477925,0.06591850238444065,negligible
L_STG_posterior,HC_vs_AVH+,-0.2635884292597379,-0.825073299394579,0.28216110896453683,-0.25926730746859467,small
L_STG_posterior,AVH-_vs_AVH+,-0.49564075038829714,-1.087733542194661,0.03676342078473097,-0.48714405181021203,small
L_STG_anterior,HC_vs_AVH-,0.3697346470438594,-0.1859342520102462,0.9161588333737695,0.3636734233218289,small
L_STG_anterior,HC_vs_AVH+,-0.30138742895291026,-0.9051921418521982,0.2651140385219295,-0.29644665142909205,small
L_STG_anterior,AVH-_vs_AVH+,-0.6814072034300929,-1.2375918987867804,-0.17836745942812546,-0.669725937085577,medium
L_MTG,HC_vs_AVH-,0.3723266321449531,-0.18508170021971898,1.013066647228013,0.3662229168638883,small
L_MTG,HC_vs_AVH+,-0.5736514071921166,-1.1909770677469786,-0.06123254972600439,-0.5642472857627376,medium
L_MTG,AVH-_vs_AVH+,-0.8882515502074201,-1.501269761172839,-0.3435965414685449,-0.8730243807752929,large
L_IFG_triangularis,HC_vs_AVH-,0.12327180079323292,-0.4541233408778466,0.7130746768345568,0.12125095159990124,negligible
L_IFG_triangularis,HC_vs_AVH+,-0.31026174953073615,-0.9181134568823146,0.2555733036511434,-0.3051754913417077,small
L_IFG_triangularis,AVH-_vs_AVH+,-0.33947961023518725,-0.9193857880220233,0.24408588139381426,-0.33365995977401264,small
L_IFG_opercularis,HC_vs_AVH-,-0.026833835405339193,-0.6372858919780209,0.5375477441497961,-0.026393936464268058,negligible
L_IFG_opercularis,HC_vs_AVH+,-0.19010525033542222,-0.7687113602317576,0.3611979643883999,-0.18698877082172677,negligible
L_IFG_opercularis,AVH-_vs_AVH+,-0.1920525248616239,-0.763788364975621,0.4044388214674666,-0.1887601958639961,negligible
L_STS,HC_vs_AVH-,0.6168359836217935,0.02431197027990106,1.137463175951942,0.6067239183165182,medium
L_STS,HC_vs_AVH+,-0.28160639912611046,-0.8388149621503916,0.28159920693692414,-0.27698990077978075,small
L_STS,AVH-_vs_AVH+,-0.9174636987180219,-1.4490542556822472,-0.4231149290325681,-0.9017357495971415,large
R_STG_posterior,HC_vs_AVH-,-0.23350490228417228,-0.8670412834285331,0.3087730365783001,-0.22967695306639896,small
R_STG_posterior,HC_vs_AVH+,-0.3742113057810119,-1.0700893243760081,0.22827506829676664,-0.3680766942108314,small
R_STG_posterior,AVH-_vs_AVH+,-0.15092516596112615,-0.7457729477895145,0.4408972583639488,-0.14833787740179255,negligible
R_STG_anterior,HC_vs_AVH-,-0.010930936604289038,-0.5318719577309858,0.5218004028935243,-0.010751740922251512,negligible
R_STG_anterior,HC_vs_AVH+,-0.19355332019541346,-0.7504152760645748,0.41129605152018567,-0.19038031494630833,negligible
R_STG_anterior,AVH-_vs_AVH+,-0.22852397814833958,-0.8040119509735575,0.3648026288897983,-0.22460642423722518,small
R_MTG,HC_vs_AVH-,0.0946514935505748,-0.4603946098802994,0.6232468583176797,0.09309982972187685,negligible
R_MTG,HC_vs_AVH+,-0.39755034099610026,-1.0609478685042109,0.1305550714226355,-0.39103312229124615,small
R_MTG,AVH-_vs_AVH+,-0.5040045004161956,-1.0927461175901905,0.12293555753092492,-0.49536442326620367,medium
R_IFG,HC_vs_AVH-,0.19078146022540537,-0.42566243239182877,0.7294424817639015,0.1876538953036774,negligible
R_IFG,HC_vs_AVH+,-0.1488265971058158,-0.7661607655355166,0.42586239648195223,-0.1463868168253926,negligible
R_IFG,AVH-_vs_AVH+,-0.3232176712508346,-0.9006039656285536,0.28390347154785034,-0.3176767968865346,small
L_Heschl,HC_vs_AVH-,-0.25311323026151283,-0.7768345394190737,0.3019369250991989,-0.248963833044111,small
L_Heschl,HC_vs_AVH+,-0.2001743888933855,-0.7232647328765791,0.3688426153634284,-0.19689284153447756,small
L_Heschl,AVH-_vs_AVH+,0.023200277768725436,-0.5174095145952715,0.6792856090606568,0.022802558721261572,negligible
R_Heschl,HC_vs_AVH-,-0.304007447987638,-0.9229676151792823,0.2683324333131933,-0.299023719332103,small
R_Heschl,HC_vs_AVH+,-0.2564427937556014,-0.8626365801202994,0.3260098732938084,-0.25223881353009975,small
R_Heschl,AVH-_vs_AVH+,0.04601741868058753,-0.4718558772328488,0.6257931937253141,0.04522854864606317,negligible
