roi,eta_squared,omega_squared,interpretation
L_STG_posterior,0.0076863286215632905,-0.021190143056429557,negligible
L_STG_anterior,0.03692756628356453,0.008481780454484819,small
L_MTG,0.02869963821883545,0.0001301218807156866,small
L_IFG_triangularis,0.004000961942532744,-0.024928005797466766,negligible
L_IFG_opercularis,0.03180796491874719,0.0032849569870856262,small
L_STS,0.01940542322044653,-0.009301461932958274,small
R_STG_posterior,0.026664023139412494,-0.0019357970489627854,small
R_STG_anterior,0.03902113216981725,0.010607147170708707,small
R_MTG,0.003904329000683077,-0.02502600985113359,negligible
R_IFG,0.016482468191046946,-0.012267093023148762,small
L_Heschl,0.04923640781367295,0.020979442019131354,small
R_Heschl,0.04064834184641995,0.012259162955013664,small
