roi,comparison,cohens_d,d_ci_lower,d_ci_upper,interpretation
L_STG_posterior,HC_vs_AVH-,-0.18509764383030305,-0.7004207982506934,0.3999390111483886,negligible
L_STG_posterior,HC_vs_AVH+,-0.06227250095589985,-0.6274065314571176,0.5260271668684956,negligible
L_STG_posterior,AVH-_vs_AVH+,0.19535873869360879,-0.44892093667806265,0.7926005395029088,negligible
L_STG_anterior,HC_vs_AVH-,-0.18804302979955928,-0.7319822541475792,0.3896059997029016,negligible
L_STG_anterior,HC_vs_AVH+,-0.430220092470262,-1.0488117894488098,0.12333075928990754,small
L_STG_anterior,AVH-_vs_AVH+,-0.294358965035143,-0.9176335405517263,0.26957895780194674,small
L_MTG,HC_vs_AVH-,0.0739445749658593,-0.5193406296454762,0.674571112174574,negligible
L_MTG,HC_vs_AVH+,-0.30271419819661444,-0.8816169190574638,0.2860427392341459,small
L_MTG,AVH-_vs_AVH+,-0.3673281129160298,-0.8785799657171166,0.23387493184374056,small
L_IFG_triangularis,HC_vs_AVH-,-0.15963088443307272,-0.7058879914654258,0.4473761226799589,negligible
L_IFG_triangularis,HC_vs_AVH+,-0.09909330334031372,-0.6990346446187223,0.4413312675169426,negligible
L_IFG_triangularis,AVH-_vs_AVH+,0.043296452437242755,-0.5402321859751755,0.6214566023755883,negligible
L_IFG_opercularis,HC_vs_AVH-,-0.40122084970988914,-1.0262704159616867,0.16172680128064998,small
L_IFG_opercularis,HC_vs_AVH+,0.019264095237021776,-0.6006285672666177,0.5965948025848704,negligible
L_IFG_opercularis,AVH-_vs_AVH+,0.3831990155591907,-0.212577762353604,0.9730944180230328,small
L_STS,HC_vs_AVH-,0.2998556704092485,-0.266172668174393,0.9374176742795199,small
L_STS,HC_vs_AVH+,-0.011605713717571887,-0.6066510892351573,0.6238110185928265,negligible
L_STS,AVH-_vs_AVH+,-0.29714974853058673,-0.867087531021325,0.3161958344754686,small
R_STG_posterior,HC_vs_AVH-,-0.44845814586449895,-1.0786050431010943,0.12474904492282758,small
R_STG_posterior,HC_vs_AVH+,-0.26064165272227174,-0.9393859717940176,0.32880901460294754,small
R_STG_posterior,AVH-_vs_AVH+,0.09725582008691865,-0.5163500319505223,0.7138817519876588,negligible
R_STG_anterior,HC_vs_AVH-,-0.4768133830227839,-1.0538094676385583,0.05732558908809384,small
R_STG_anterior,HC_vs_AVH+,-0.22876724196236006,-0.8154715967765043,0.3190877209570879,small
R_STG_anterior,AVH-_vs_AVH+,0.2573999216848272,-0.3042416935851774,0.8349386807782705,small
R_MTG,HC_vs_AVH-,-0.08845061059898024,-0.670088983550243,0.4855588426376515,negligible
R_MTG,HC_vs_AVH+,-0.14019896938018997,-0.7061765954051873,0.4022983335481608,negligible
R_MTG,AVH-_vs_AVH+,-0.06124434867505295,-0.6335451862590199,0.5517645949919174,negligible
R_IFG,HC_vs_AVH-,0.14693315214911581,-0.4685348501292989,0.7562092650721468,negligible
R_IFG,HC_vs_AVH+,0.30801387546302317,-0.2476057750272094,0.9360493916521822,small
R_IFG,AVH-_vs_AVH+,0.1610001838079592,-0.45353994431180267,0.7696586306339904,negligible
L_Heschl,HC_vs_AVH-,-0.5316301533967155,-1.0626272874244287,-0.031204175622685206,medium
L_Heschl,HC_vs_AVH+,-0.25160977235366977,-0.7169320530906308,0.3141245141620565,small
L_Heschl,AVH-_vs_AVH+,0.29984608304073346,-0.26654346528979006,1.015971211704561,small
R_Heschl,HC_vs_AVH-,-0.54601557727814,-1.0977392300058997,-0.0067068729825551275,medium
R_Heschl,HC_vs_AVH+,-0.19172712048156287,-0.7168105652572608,0.3799416238063238,negligible
R_Heschl,AVH-_vs_AVH+,0.3486997234391338,-0.21995421984478544,0.9586783125955668,small
