roi,eta_squared,omega_squared,interpretation
L_STG_posterior,0.027381191718337153,-0.0012079660183411127,small
L_STG_anterior,0.0369532988927878,0.008507903153381504,small
L_MTG,0.016718040944382652,-0.01202809014488028,small
L_IFG_triangularis,0.008562201335016123,-0.020301735276721175,negligible
L_IFG_opercularis,0.04007149128314338,0.011673509634196912,small
L_STS,0.027239504593992353,-0.0013517608654614497,small
R_STG_posterior,0.0004986587202161175,-0.028479827410132757,negligible
R_STG_anterior,0.013903305475526703,-0.014883703614363603,small
R_MTG,0.01807356638728086,-0.010652795462265757,small
R_IFG,0.007955128922109813,-0.02091749821517888,negligible
L_Heschl,0.005673249880391294,-0.023231946507396434,negligible
R_Heschl,0.021708248051084136,-0.006964838128374443,small
