roi,comparison,cohens_d,d_ci_lower,d_ci_upper,hedges_g,interpretation
L_STG_posterior,HC_vs_AVH-,0.18153807333351213,-0.3793506334066464,0.7703054514936526,0.17856203934443815,negligible
L_STG_posterior,HC_vs_AVH+,0.4015935181608399,-0.18120375017587204,0.9827244876325494,0.3950100178631212,small
L_STG_posterior,AVH-_vs_AVH+,0.2260076772455729,-0.37155486931609105,0.8082038390158158,0.2221332599213631,small
L_STG_anterior,HC_vs_AVH-,-0.2820625867849226,-0.8169541846551021,0.31471542616441767,-0.27743860995238284,small
L_STG_anterior,HC_vs_AVH+,-0.49278292541779556,-0.9955701777219804,0.03455652930488476,-0.4847045168043891,small
L_STG_anterior,AVH-_vs_AVH+,-0.1528479381975098,-0.8139733719071622,0.4117014334288819,-0.15022768782840965,negligible
L_MTG,HC_vs_AVH-,0.030890166673746135,-0.5444961864273422,0.6158137292151699,0.03038377049876669,negligible
L_MTG,HC_vs_AVH+,0.3081763901912983,-0.27107900610307256,0.9332105129330565,0.3031243182209491,small
L_MTG,AVH-_vs_AVH+,0.2464949733077076,-0.27622337803359526,0.835893853969623,0.24226934519386117,small
L_IFG_triangularis,HC_vs_AVH-,0.17412825248601924,-0.3559818702935121,0.8278001828943297,0.17127369096985498,negligible
L_IFG_triangularis,HC_vs_AVH+,0.22108620873685841,-0.33180968302735075,0.7405121299102794,0.21746184465920498,small
L_IFG_triangularis,AVH-_vs_AVH+,-0.01278181713037057,-0.6844786199141466,0.5450058794146206,-0.012562700265278502,negligible
L_IFG_opercularis,HC_vs_AVH-,-0.3483034023906839,-0.8412883039429303,0.19612136867843738,-0.3425935105482137,small
L_IFG_opercularis,HC_vs_AVH+,0.11037637632064183,-0.4398066932336494,0.6960927584843823,0.10856692752850015,negligible
L_IFG_opercularis,AVH-_vs_AVH+,0.436252688156756,-0.10215443813781162,0.9607435886300251,0.42877407064549733,small
L_STS,HC_vs_AVH-,0.2593213477523655,-0.3022165038233172,0.9332612640862834,0.2550701781170808,small
L_STS,HC_vs_AVH+,0.4263288017048466,-0.15620199249346622,1.0601589440101635,0.4193398049555868,small
L_STS,AVH-_vs_AVH+,0.11524886389903646,-0.49216533232201076,0.7338583158486941,0.1132731690893387,negligible
R_STG_posterior,HC_vs_AVH-,0.002336641288377656,-0.5284719033120291,0.609895365747685,0.002298335693486219,negligible
R_STG_posterior,HC_vs_AVH+,0.04925976129289748,-0.4926879746606186,0.7020953721609537,0.048452224222522114,negligible
R_STG_posterior,AVH-_vs_AVH+,0.044526378837473506,-0.5785431059355884,0.6104450257620988,0.04376306948597396,negligible
R_STG_anterior,HC_vs_AVH-,0.10457240101091211,-0.4130397958133485,0.8413543576222025,0.10285809935499551,negligible
R_STG_anterior,HC_vs_AVH+,-0.21259241339778343,-0.7930101678627604,0.3887854824881824,-0.2091072918666722,small
R_STG_anterior,AVH-_vs_AVH+,-0.24948044107439432,-0.892815377000753,0.32463635225510257,-0.245203633513119,small
R_MTG,HC_vs_AVH-,-0.09967685480126849,-0.5964397213981987,0.5550870802161536,-0.09804280800124769,negligible
R_MTG,HC_vs_AVH+,0.2521072325871289,-0.3050259505118826,0.9243773260626784,0.2479743271348809,small
R_MTG,AVH-_vs_AVH+,0.30989314924147954,-0.28197145785467187,0.8844704071727316,0.3045806952544827,small
R_IFG,HC_vs_AVH-,0.19287604471368622,-0.32975261003400386,0.9301961333812993,0.18971414234133072,negligible
R_IFG,HC_vs_AVH+,0.18393716933027596,-0.39067881552083444,0.7864920649641894,0.18092180589863208,negligible
R_IFG,AVH-_vs_AVH+,-0.04860048453698084,-0.7450873734885243,0.47890949376656916,-0.04776733337348974,negligible
L_Heschl,HC_vs_AVH-,-0.14171564404257936,-0.58329560637464,0.5296791200780041,-0.1393924367631928,negligible
L_Heschl,HC_vs_AVH+,-0.15426915471899244,-0.6226825769811285,0.4814336332060687,-0.15174015218261552,negligible
L_Heschl,AVH-_vs_AVH+,-0.001673835318100086,-0.6718527847650724,0.5306406133357278,-0.0016451409983612275,negligible
R_Heschl,HC_vs_AVH-,0.11739607400578955,-0.3981375811083164,0.7955890811811966,0.11547154820241595,negligible
R_Heschl,HC_vs_AVH+,0.3926545337929346,-0.12971626836265168,1.0584786697308826,0.3862175742225586,small
R_Heschl,AVH-_vs_AVH+,0.21639186183051423,-0.3743530516637216,0.7548758586183099,0.21268228705627684,small
