roi,eta_squared,omega_squared,interpretation
L_STG_posterior,0.011377596986839544,-0.017445894250363587,small
L_STG_anterior,0.064387802135076,0.03636938977576776,medium
L_MTG,0.01166121391919132,-0.017158190014214914,small
L_IFG_triangularis,0.013367951622018944,-0.015426805960209162,small
L_IFG_opercularis,0.018164816731447337,-0.010560212364071375,small
L_STS,0.008117381860022253,-0.02075292361165377,negligible
R_STG_posterior,0.032208865757918585,0.0036918770177617483,small
R_STG_anterior,0.06103369299800795,0.032961888342525926,medium
R_MTG,0.00801849973754132,-0.02085322072343486,negligible
R_IFG,0.00507384687454653,-0.023839879401149736,negligible
L_Heschl,0.05904208057529313,0.03093872938005034,small
R_Heschl,0.020310999436314953,-0.008382613024730047,small
