roi,comparison,cohens_d,d_ci_lower,d_ci_upper,hedges_g,interpretation
L_STG_posterior,HC_vs_AVH-,-0.23342188781248935,-0.7517071804191181,0.3555546410490823,-0.22959529948769444,small
L_STG_posterior,HC_vs_AVH+,-0.10046001699351823,-0.6142462014907775,0.5201321882363046,-0.09881313146903432,negligible
L_STG_posterior,AVH-_vs_AVH+,0.19654001693024906,-0.40139253736522984,0.8201163442539218,0.1931707594971591,negligible
L_STG_anterior,HC_vs_AVH-,-0.37078132921560664,-0.9638488329342911,0.18628557893430978,-0.36470294676944914,small
L_STG_anterior,HC_vs_AVH+,-0.5613741755893977,-1.1534042111485496,0.0368327207563911,-0.5521713202518667,medium
L_STG_anterior,AVH-_vs_AVH+,-0.28979934141207114,-0.9065457244344264,0.22592364171067403,-0.28483135270214993,small
L_MTG,HC_vs_AVH-,0.05231314838281377,-0.5256284498170452,0.5994660128340714,0.0514555557863742,negligible
L_MTG,HC_vs_AVH+,-0.182405527397587,-0.7526225209220117,0.36116744991795496,-0.17941527285008557,negligible
L_MTG,AVH-_vs_AVH+,-0.2538125811094526,-0.7945621776285575,0.3704324411103792,-0.24946150829043343,small
L_IFG_triangularis,HC_vs_AVH-,0.12146539566540585,-0.49600416645425666,0.655904810121334,0.11947415967089099,negligible
L_IFG_triangularis,HC_vs_AVH+,-0.17250142456275033,-0.764976310545944,0.4258726523781215,-0.1696735323568036,negligible
L_IFG_triangularis,AVH-_vs_AVH+,-0.26837731107242196,-0.8277563327425115,0.2954020422411653,-0.2637765571683233,small
L_IFG_opercularis,HC_vs_AVH-,-0.3020522833742369,-0.8707711483859464,0.2733277381698438,-0.29710060659761006,small
L_IFG_opercularis,HC_vs_AVH+,0.012004223098150446,-0.5448458378355456,0.6660215942811348,0.011807432555557815,negligible
L_IFG_opercularis,AVH-_vs_AVH+,0.2874199680643797,-0.2803912607569014,0.9633395570015171,0.28249276861184747,small
L_STS,HC_vs_AVH-,0.11878132995680254,-0.4338640546874302,0.732490156040508,0.1168340950394779,negligible
L_STS,HC_vs_AVH+,-0.09460972895668479,-0.6533666979132946,0.5196900909540844,-0.09305874979346045,negligible
L_STS,AVH-_vs_AVH+,-0.2391764768221122,-0.7853182689848515,0.3796248113724878,-0.23507630864801887,small
R_STG_posterior,HC_vs_AVH-,-0.4117664843340974,-1.0603323302689747,0.14250622682115488,-0.4050162140991122,small
R_STG_posterior,HC_vs_AVH+,-0.3649672232118697,-1.0959050735523255,0.20007279294272545,-0.3589841539788882,small
R_STG_posterior,AVH-_vs_AVH+,-0.05684074186818947,-0.683269340981947,0.5037265931686692,-0.05586632915044908,negligible
R_STG_anterior,HC_vs_AVH-,-0.5716500498029835,-1.1378181247445867,-0.060377528448186266,-0.5622787375111313,medium
R_STG_anterior,HC_vs_AVH+,-0.3904552542780409,-0.9064721602974998,0.17860126418241024,-0.38405434847020414,small
R_STG_anterior,AVH-_vs_AVH+,0.20704152856716748,-0.40192785846509094,0.8132889035692086,0.20349224522030177,small
R_MTG,HC_vs_AVH-,-0.1180892642918107,-0.6893910774771668,0.41597425099243124,-0.11615337471325643,negligible
R_MTG,HC_vs_AVH+,-0.19402131863174238,-0.7515800546186209,0.39340459181036286,-0.19084064127712363,negligible
R_MTG,AVH-_vs_AVH+,-0.1075185046128126,-0.6515911406071613,0.508295709978296,-0.10567533024802152,negligible
R_IFG,HC_vs_AVH-,0.1635386439250085,-0.40627208531349646,0.7881019063446943,0.1608576825491887,negligible
R_IFG,HC_vs_AVH+,0.09875625971246745,-0.4642211019879263,0.7574546174326487,0.09713730463521388,negligible
R_IFG,AVH-_vs_AVH+,-0.07213325735012781,-0.6085664646215823,0.5118179214093418,-0.07089668722412562,negligible
L_Heschl,HC_vs_AVH-,-0.43522802683971445,-0.9362339931516781,0.1866128562128616,-0.42809314115381747,small
L_Heschl,HC_vs_AVH+,-0.5050127641033799,-1.0030237061734877,-0.01052965210352521,-0.4967338663311934,medium
L_Heschl,AVH-_vs_AVH+,-0.10047905328930826,-0.6371005792286152,0.5240308612716466,-0.09875655523292012,negligible
R_Heschl,HC_vs_AVH-,-0.33561094493736865,-0.8730862372366401,0.1836594476820013,-0.3301091261679036,small
R_Heschl,HC_vs_AVH+,-0.24874182475735537,-0.7762522162854109,0.3163745277986273,-0.24466408992526759,small
R_Heschl,AVH-_vs_AVH+,0.05134640974866655,-0.5796865004334372,0.6190400428495226,0.05046618558154655,negligible
