roi,eta_squared,omega_squared,interpretation
L_STG_posterior,0.020856183661014903,-0.007829426604176433,small
L_STG_anterior,0.06674747560739212,0.03876682435043703,medium
L_MTG,0.09288581278019085,0.0653344280589296,medium
L_IFG_triangularis,0.003546653517962976,-0.025388757954642148,negligible
L_IFG_opercularis,0.039006157453522775,0.010591944533373941,small
L_STS,0.08758385851261559,0.059943771052836166,medium
R_STG_posterior,0.0026236939934468064,-0.026324789690598746,negligible
R_STG_anterior,0.06042948381130346,0.032348096312372135,medium
R_MTG,0.0354471607028331,0.00697896570604694,small
R_IFG,0.02869417171315264,0.000124573832806293,small
L_Heschl,0.021529780603320392,-0.007145930551950182,small
R_Heschl,0.0015318257562787682,-0.027432090119459122,negligible
