contrast,roi_pair,group,mean_LI,std_LI,sem_LI,n,lateralization
sentences_vs_reversed,STG_posterior,HC,0.1111971442235309,0.6418581095790113,0.12837162191580226,25,Left
sentences_vs_reversed,STG_posterior,AVH-,-0.04934121232700827,0.7130612192417515,0.14868354231701714,23,Bilateral
sentences_vs_reversed,STG_posterior,AVH+,-0.14871241404282354,0.7936744577410098,0.1654925645079332,23,Right
sentences_vs_reversed,STG_anterior,HC,0.1902776528619327,0.5472504781341173,0.10945009562682347,25,Left
sentences_vs_reversed,STG_anterior,AVH-,-0.031874444665931666,0.7133402679531621,0.1487417279955703,23,Bilateral
sentences_vs_reversed,STG_anterior,AVH+,0.16005536643639964,0.6613385592324924,0.1378986221717132,23,Left
sentences_vs_reversed,MTG,HC,0.2762396066025444,0.7037685524475573,0.14075371048951146,25,Left
sentences_vs_reversed,MTG,AVH-,0.05378407343857564,0.6297888075914584,0.13132004419463675,23,Bilateral
sentences_vs_reversed,MTG,AVH+,0.2395943809034458,0.7662740255043532,0.15977917943519618,23,Left
sentences_vs_reversed,Heschl,HC,0.13311051636076532,0.5909986142203011,0.11819972284406022,25,Left
sentences_vs_reversed,Heschl,AVH-,0.07105048689178303,0.6802642369976919,0.1418448987815568,23,Bilateral
sentences_vs_reversed,Heschl,AVH+,0.15348612115862623,0.6597724222251328,0.1375720600312905,23,Left
sentences_vs_reversed,IFG,HC,0.31902362269178397,0.8387553712464417,0.16775107424928834,25,Left
sentences_vs_reversed,IFG,AVH-,0.31980934983171866,0.6063164857487806,0.12642572675905173,23,Left
sentences_vs_reversed,IFG,AVH+,0.15225666622237857,0.7175721484646066,0.1496241360807737,23,Left
speech_vs_reversed,STG_posterior,HC,0.18159524367447313,0.5319996427933756,0.10639992855867512,25,Left
speech_vs_reversed,STG_posterior,AVH-,-0.10053477380713327,0.5377930631586204,0.11213760544847914,23,Right
speech_vs_reversed,STG_posterior,AVH+,-0.2111701776670454,0.6121719181562486,0.1276466688165457,23,Right
speech_vs_reversed,STG_anterior,HC,0.07045313879749526,0.5201581764375022,0.10403163528750044,25,Bilateral
speech_vs_reversed,STG_anterior,AVH-,-0.04094746840673751,0.6466029357866878,0.13482603228314555,23,Bilateral
speech_vs_reversed,STG_anterior,AVH+,0.1444367650920882,0.6596331931081244,0.13754302875353783,23,Left
speech_vs_reversed,MTG,HC,0.18448707773021042,0.6783121562496633,0.13566243124993266,25,Left
speech_vs_reversed,MTG,AVH-,0.15383729008085495,0.6630188344949178,0.13824898378351244,23,Left
speech_vs_reversed,MTG,AVH+,0.25065039863324645,0.7623942099529143,0.1589701819688384,23,Left
speech_vs_reversed,Heschl,HC,-0.0381612066219025,0.6561292371339724,0.1312258474267945,25,Bilateral
speech_vs_reversed,Heschl,AVH-,0.06278615242234119,0.7079252272117825,0.14761261394828637,23,Bilateral
speech_vs_reversed,Heschl,AVH+,0.11362217425988837,0.6343666476036225,0.13227458982242019,23,Left
speech_vs_reversed,IFG,HC,0.2098459280672322,0.8383330643649819,0.1676666128729964,25,Left
speech_vs_reversed,IFG,AVH-,0.36504756926938775,0.6107661472632323,0.12735354532248994,23,Left
speech_vs_reversed,IFG,AVH+,0.2726300415606715,0.7008436108774058,0.14613599486774678,23,Left
words_vs_sentences,STG_posterior,HC,0.04547105895456296,0.6513208752915493,0.13026417505830984,25,Bilateral
words_vs_sentences,STG_posterior,AVH-,0.014990741812477861,0.6361473412590097,0.1326458901165884,23,Bilateral
words_vs_sentences,STG_posterior,AVH+,-0.19952895802137297,0.5351666877709966,0.11158996832343485,23,Right
words_vs_sentences,STG_anterior,HC,-0.023422481772184724,0.6826575794826324,0.13653151589652648,25,Bilateral
words_vs_sentences,STG_anterior,AVH-,-0.07152506304906474,0.7656629416750206,0.15965175964858314,23,Bilateral
words_vs_sentences,STG_anterior,AVH+,-0.07469047987661552,0.6789941760446515,0.14158007276611678,23,Bilateral
words_vs_sentences,MTG,HC,-0.05394239179479055,0.6790328558506113,0.13580657117012226,25,Bilateral
words_vs_sentences,MTG,AVH-,-0.015350831264179706,0.6382570436944158,0.1330857934837419,23,Bilateral
words_vs_sentences,MTG,AVH+,-0.3083614584812104,0.5473774097096846,0.11413607985369424,23,Right
words_vs_sentences,Heschl,HC,-0.1493682181179671,0.7045388089255432,0.14090776178510864,25,Right
words_vs_sentences,Heschl,AVH-,-0.02737626031270849,0.7054688829218516,0.14710043075794899,23,Bilateral
words_vs_sentences,Heschl,AVH+,0.013558984290508645,0.6436574107778192,0.13421184786183088,23,Bilateral
words_vs_sentences,IFG,HC,0.024285642407914965,0.680079856239251,0.1360159712478502,25,Bilateral
words_vs_sentences,IFG,AVH-,0.20876956996987914,0.7466392075988028,0.15568503688450297,23,Left
words_vs_sentences,IFG,AVH+,0.16144149746883016,0.850834692322431,0.1774112973290432,23,Left
words_vs_reversed,STG_posterior,HC,0.09152550564091687,0.5181871354059792,0.10363742708119583,25,Bilateral
words_vs_reversed,STG_posterior,AVH-,-0.07187781171994331,0.5030251000209245,0.10488798398686451,23,Bilateral
words_vs_reversed,STG_posterior,AVH+,-0.2618288355320865,0.49602824742945123,0.10342903936850974,23,Right
words_vs_reversed,STG_anterior,HC,0.04593848539656835,0.6611681338256387,0.13223362676512773,25,Bilateral
words_vs_reversed,STG_anterior,AVH-,-0.06881286038396603,0.7306349136855825,0.15234791091679065,23,Bilateral
words_vs_reversed,STG_anterior,AVH+,0.1994002201711635,0.7573303723181586,0.15791429883154712,23,Left
words_vs_reversed,MTG,HC,0.2034539138286338,0.5902193420003053,0.11804386840006106,25,Left
words_vs_reversed,MTG,AVH-,0.11326951438659648,0.6603384602148836,0.13769008711105746,23,Left
words_vs_reversed,MTG,AVH+,0.20277309379344138,0.6581323289595028,0.13723007694500872,23,Left
words_vs_reversed,Heschl,HC,-0.08333635769067894,0.6210401718618596,0.1242080343723719,25,Bilateral
words_vs_reversed,Heschl,AVH-,0.10402077151416428,0.7039230629805049,0.14677810501864133,23,Left
words_vs_reversed,Heschl,AVH+,0.10775858244816909,0.657837619772712,0.1371686258316078,23,Left
words_vs_reversed,IFG,HC,0.2846941316746608,0.7177791015280527,0.14355582030561054,25,Left
words_vs_reversed,IFG,AVH-,0.43506082367347765,0.6078228525966675,0.12673982595969385,23,Left
words_vs_reversed,IFG,AVH+,0.1766949898531291,0.7695192888561001,0.1604558636214466,23,Left
