roi,n,n_HC,n_AVH-,n_AVH+,diff_AVHneg_minus_AVHpos,se,t_stat,df,p_value,d_adj,d_adj_ci_lo,d_adj_ci_hi,contrast,sample,p_fdr_within_contrast
L_STG_posterior,69,24,22,23,0.031588443599761123,0.06043216845170752,0.5227090870486311,62.0,0.6030396650058879,0.16296514621604202,-0.4481045567939716,0.7740348492260556,words_vs_baseline,full_n69,0.8066208142424659
L_STG_anterior,69,24,22,23,-0.023800193999800608,0.0545661696286427,-0.4361712423975512,62.0,0.6642275461197177,-0.13598522018029605,-0.7470549231903097,0.4750844828297176,words_vs_baseline,full_n69,0.8066208142424659
L_MTG,69,24,22,23,0.04578663242125736,0.0632875460601202,0.7234698652679977,62.0,0.47211204928318695,0.22555638556429078,-0.38551331744572287,0.8366260885743044,words_vs_baseline,full_n69,0.8066208142424659
L_IFG_triangularis,69,24,22,23,-0.019628027145851726,0.04552051530880504,-0.4311907941440872,62.0,0.6678252070195635,-0.13443246455014252,-0.7455021675601562,0.4766372384598712,words_vs_baseline,full_n69,0.8066208142424659
L_IFG_opercularis,69,24,22,23,0.041260525526418866,0.03699609928143018,1.1152669153725936,62.0,0.2690403249563706,0.3477070524253188,-0.2633626505846949,0.9587767554353326,words_vs_baseline,full_n69,0.8066208142424659
L_STS,69,24,22,23,0.02189316594124472,0.05666542314615351,0.38635846563392057,62.0,0.7005539707328651,0.1204550779848594,-0.49061462502515424,0.731524780994873,words_vs_baseline,full_n69,0.8066208142424659
R_STG_posterior,69,24,22,23,0.009680166237254383,0.06296048369096859,0.1537498708677005,62.0,0.8783063148907003,0.04793463669844576,-0.5631350663115678,0.6590043397084594,words_vs_baseline,full_n69,0.8783063148907003
R_STG_anterior,69,24,22,23,-0.04488757232240564,0.04534936294856225,-0.9898170427072945,62.0,0.326110853638434,-0.3085955134292839,-0.9196652164392976,0.30247418958072975,words_vs_baseline,full_n69,0.8066208142424659
R_MTG,69,24,22,23,0.04382840324849424,0.05013392654108063,0.8742264225520112,62.0,0.38536880136113977,0.27255779611855313,-0.33851190689146043,0.8836274991285666,words_vs_baseline,full_n69,0.8066208142424659
R_IFG,69,24,22,23,-0.014881756209865473,0.044537641329625115,-0.33413884897327445,62.0,0.7394024130555937,-0.1041745546970442,-0.7152442577070578,0.5068951483129694,words_vs_baseline,full_n69,0.8066208142424659
