roi,n,n_HC,n_AVH-,n_AVH+,diff_AVHneg_minus_AVHpos,se,t_stat,df,p_value,d_adj,d_adj_ci_lo,d_adj_ci_hi,contrast,sample,p_fdr_within_contrast
L_STG_posterior,65,22,20,23,0.038828165674047135,0.056122558677991964,0.6918459633465234,58.0,0.4917944391659068,0.22032364983998404,-0.4038533730301729,0.844500672710141,words_vs_baseline,motion_clean_n65,0.9123631774776296
L_STG_anterior,65,22,20,23,-0.012136671215871628,0.05504333277332842,-0.22049302984343497,58.0,0.8262615133897678,-0.07021769537311015,-0.694394718243267,0.5539593274970467,words_vs_baseline,motion_clean_n65,0.982146648531231
L_MTG,65,22,20,23,0.05553638735173724,0.06513295897004047,0.8526618202204292,58.0,0.39735426992219897,0.27153669207154923,-0.3526403307986076,0.8957137149417062,words_vs_baseline,motion_clean_n65,0.9123631774776296
L_IFG_triangularis,65,22,20,23,-0.005558684790018828,0.04417589748766851,-0.12583071552922062,58.0,0.9003010944869617,-0.040071755818699255,-0.6642487786888561,0.5841052670514576,words_vs_baseline,motion_clean_n65,0.982146648531231
L_IFG_opercularis,65,22,20,23,0.04287781465547227,0.03820294917454974,1.1223692301754769,58.0,0.26633036074473976,0.35742708400612194,-0.2667499388640349,0.9816041068762787,words_vs_baseline,motion_clean_n65,0.9123631774776296
L_STS,65,22,20,23,0.03650000287612361,0.05808445981519684,0.6283953228153115,58.0,0.5322118535286173,0.2001173070308124,-0.42405971583934443,0.8242943299009693,words_vs_baseline,motion_clean_n65,0.9123631774776296
R_STG_posterior,65,22,20,23,0.01720400492655899,0.06589544790306545,0.26108032457517694,58.0,0.7949553841931886,0.08314303047107563,-0.5410339923990815,0.7073200533412326,words_vs_baseline,motion_clean_n65,0.982146648531231
R_STG_anterior,65,22,20,23,-0.03734663608676281,0.04701836293106287,-0.7942989453188641,58.0,0.4302594880149606,-0.2529505872234868,-0.8771276100936438,0.3712264356466701,words_vs_baseline,motion_clean_n65,0.9123631774776296
R_MTG,65,22,20,23,0.05389281382025785,0.05234328830740826,1.0296031365807463,58.0,0.30747095148371617,0.32788501047384994,-0.296292012396307,0.9520620333440069,words_vs_baseline,motion_clean_n65,0.9123631774776296
R_IFG,65,22,20,23,-0.0008799369210564919,0.04395412088266881,-0.020019440802954442,58.0,0.9840965763241459,-0.006375344367302778,-0.6305523672374596,0.6178016785028541,words_vs_baseline,motion_clean_n65,0.9840965763241459
L_Heschl,65,22,20,23,-0.017610006026220315,0.06187265329911741,-0.2846169525183675,58.0,0.7769513824054918,-0.09063845004147521,-0.714815472911632,0.5335385728286816,words_vs_baseline,motion_clean_n65,0.982146648531231
R_Heschl,65,22,20,23,0.04884631692333809,0.05098757757455341,0.9580042678418208,58.0,0.3420370808196352,0.3050838019379654,-0.31909322093219156,0.9292608248081223,words_vs_baseline,motion_clean_n65,0.9123631774776296
L_STG_posterior,65,22,20,23,-0.0018655256880520444,0.05316039633468045,-0.03509239615723152,58.0,0.9721265611367506,-0.01117544253000046,-0.6353524654001573,0.6130015803401564,sentences_vs_baseline,motion_clean_n65,0.9721265611367506
L_STG_anterior,65,22,20,23,-0.022975492473597016,0.04948734387785767,-0.4642700673187076,58.0,0.6441922609818794,-0.1478503614422032,-0.7720273843123602,0.47632666142795366,sentences_vs_baseline,motion_clean_n65,0.9721265611367506
L_MTG,65,22,20,23,-0.0067563693312122745,0.05939585529188969,-0.11375152858746417,58.0,0.9098276055555258,-0.03622504615339434,-0.6604020690235513,0.5879519767167625,sentences_vs_baseline,motion_clean_n65,0.9721265611367506
L_IFG_triangularis,65,22,20,23,0.00641905180083375,0.03901231187606233,0.16453912860192307,58.0,0.8698788425256393,0.052398746651223585,-0.5717782762189333,0.6765757695213805,sentences_vs_baseline,motion_clean_n65,0.9721265611367506
L_IFG_opercularis,65,22,20,23,0.024769650397002553,0.031769077524879445,0.7796779864824402,58.0,0.43875048792496724,0.24829443081633062,-0.3758825920538263,0.8724714536864875,sentences_vs_baseline,motion_clean_n65,0.9721265611367506
L_STS,65,22,20,23,-0.005329422502320852,0.05242433694688422,-0.10165932108441478,58.0,0.9193777281269147,-0.03237418999054663,-0.6565512128607036,0.5918028328796103,sentences_vs_baseline,motion_clean_n65,0.9721265611367506
R_STG_posterior,65,22,20,23,0.024102409665854654,0.06941714181185596,0.3472112080209291,58.0,0.7296894086725538,0.11057207047431339,-0.5136049523958435,0.7347490933444701,sentences_vs_baseline,motion_clean_n65,0.9721265611367506
R_STG_anterior,65,22,20,23,-0.07782165144885066,0.04381450326701994,-1.7761619017926558,58.0,0.08095154462117722,-0.5656323714267019,-1.1898093942968588,0.05854465144345493,sentences_vs_baseline,motion_clean_n65,0.9714185354541267
R_MTG,65,22,20,23,0.04683277749389233,0.04667442701889892,1.0033926602875978,58.0,0.31983934806395514,0.31953808340208145,-0.3046389394680754,0.9437151062722383,sentences_vs_baseline,motion_clean_n65,0.9721265611367506
R_IFG,65,22,20,23,0.00868644581074454,0.04047918771761752,0.21459041795356948,58.0,0.8308393736860998,0.068337963374858,-0.5558390594952988,0.6925149862450147,sentences_vs_baseline,motion_clean_n65,0.9721265611367506
L_Heschl,65,22,20,23,0.022942841432667335,0.0563969344034697,0.40681008064253626,58.0,0.6856448420803914,0.1295517882699116,-0.4946252346002453,0.7537288111400685,sentences_vs_baseline,motion_clean_n65,0.9721265611367506
R_Heschl,65,22,20,23,0.061110699072500434,0.04932367668711399,1.2389729066662594,58.0,0.22034611703596266,0.3945604185202707,-0.22961660434988618,1.0187374413904275,sentences_vs_baseline,motion_clean_n65,0.9721265611367506
L_STG_posterior,65,22,20,23,-0.026533845239799736,0.07161467006219685,-0.3705085175531113,58.0,0.7123533477178511,-0.11799127726241646,-0.7421683001325732,0.5061857456077403,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
L_STG_anterior,65,22,20,23,-0.022532709029943913,0.05623084976772521,-0.40071791770923937,58.0,0.6901001609563735,-0.12761169228902122,-0.7517887151591781,0.4965653305811358,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
L_MTG,65,22,20,23,0.05249996325781642,0.06710759883595768,0.7823251638931509,58.0,0.4372058766047077,0.2491374447526707,-0.3750395781174863,0.8733144676228276,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
L_IFG_triangularis,65,22,20,23,-0.03827635416084107,0.04260136032802687,-0.8984772755169408,58.0,0.3726460331750871,-0.28612697497380296,-0.9103039978439598,0.3380500478963539,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
L_IFG_opercularis,65,22,20,23,0.0063090353817998775,0.037923157380025836,0.16636366319864634,58.0,0.8684493728257409,0.052979783678114574,-0.5711972391920423,0.6771568065482715,reversed_vs_baseline,motion_clean_n65,0.8684493728257409
L_STS,65,22,20,23,0.03487611174373521,0.05655810402856089,0.6166421654821272,58.0,0.5398837739811063,0.1963744239932861,-0.4278025988768708,0.820551446863443,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
