roi,F_stat,df_num,df_den,p_value,eta_squared,p_fdr
L_STG_posterior,0.8889796643284186,2,44.622085091045555,0.418229117238535,0.029220343957646687,0.872786943553889
L_STG_anterior,0.22418380453430875,2,45.03536306761512,0.8000546982577316,0.0058109614888269615,0.872786943553889
L_MTG,0.2679919203717839,2,44.09375172585846,0.7661508429206364,0.008972371943641115,0.872786943553889
L_IFG_triangularis,0.8606546093692665,2,44.532513396703074,0.4297989268664258,0.028012735921221228,0.872786943553889
L_IFG_opercularis,0.09667380591184148,2,45.08687433678392,0.9080397609071598,0.0027126413493577008,0.9080397609071598
L_STS,0.4536627458260974,2,45.074376959493016,0.638165832734142,0.012875344390225163,0.872786943553889
R_STG_posterior,0.910945158908202,2,44.12329725813717,0.40957285845791985,0.02127396277331389,0.872786943553889
R_STG_anterior,3.52513135146303,2,45.205427277152886,0.03778480756110361,0.08281965745588908,0.45341769073324334
R_MTG,0.34229137754833644,2,43.82356149207672,0.7120227804521427,0.007364480358830598,0.872786943553889
R_IFG,0.5036084861998278,2,43.950567157346526,0.6077907889546817,0.01784817173965522,0.872786943553889
L_Heschl,0.6186453854673071,2,44.63717837503367,0.5432277927973558,0.015037111002208373,0.872786943553889
R_Heschl,0.9897837387609608,2,45.192455236754675,0.3795689903367805,0.02905540545982974,0.872786943553889
