roi,F_stat,df_num,df_den,p_value,eta_squared,p_fdr
L_STG_posterior,0.7967271286358978,2,44.20699735851176,0.4571681639010598,0.02811144528052851,0.9113069140699313
L_STG_anterior,0.2595597274398216,2,45.13891528123169,0.7725345537938668,0.00737295354699691,0.9113069140699313
L_MTG,0.18064788874637308,2,42.643524873540834,0.8353646712307703,0.005273818190305956,0.9113069140699313
L_IFG_triangularis,0.45092923226847653,2,43.029001631850605,0.6400118051996928,0.01362376859164678,0.9113069140699313
L_IFG_opercularis,0.5812546423800292,2,39.63110422455936,0.5638918929688335,0.021656532347010253,0.9113069140699313
L_STS,1.7567641182882623,2,44.054818722256414,0.18447796112159526,0.04354998502246549,0.9113069140699313
R_STG_posterior,0.0458686478040263,2,44.52280860621155,0.9552124930446761,0.0015884753817979765,0.9552124930446761
R_STG_anterior,3.0188751289297073,2,44.72360262204829,0.05890894506776903,0.0827255503262432,0.7069073408132284
R_MTG,0.3819117631363761,2,44.640962101814026,0.6847638566240728,0.012164187343902679,0.9113069140699313
R_IFG,0.18362953844834934,2,43.16165184373636,0.8328908336387951,0.004710699239839317,0.9113069140699313
L_Heschl,0.22894346504472193,2,44.6682855137206,0.7963010246994994,0.006655686890824382,0.9113069140699313
R_Heschl,0.8319358543869758,2,43.31150641845055,0.44204053629952167,0.031011424363688284,0.9113069140699313
