roi,F_stat,df_num,df_den,p_value,eta_squared,p_fdr
L_STG_posterior,1.4436393764382385,2,44.084248495518786,0.24700864711958273,0.024969903153769114,0.5928207530869986
L_STG_anterior,2.660509496909649,2,45.16915906560674,0.08085355776344041,0.07131650079649572,0.32341423105376166
L_MTG,4.501080370238477,2,44.53159964991303,0.01658207161156296,0.12984626837655638,0.09949242966937777
L_IFG_triangularis,0.8753878514944943,2,42.7682158268897,0.42403270206559823,0.02418591988492564,0.7269132035410255
L_IFG_opercularis,0.26575131991570483,2,44.30278845578574,0.7678431177063285,0.008749485219983448,0.7678431177063285
L_STS,5.058927436484835,2,45.23744780227983,0.010404398929652552,0.12546306846186556,0.09949242966937777
R_STG_posterior,0.8804695345907259,2,43.17703791753544,0.4218992888775612,0.024341918557945236,0.7269132035410255
R_STG_anterior,0.3703493792611958,2,44.96702255931504,0.6925794898792937,0.009167001722491982,0.7555412616865023
R_MTG,1.658174482920703,2,45.243019329309355,0.20185265347779982,0.04416591114219305,0.5928207530869986
R_IFG,0.6048508481469548,2,44.75820765017927,0.5505588608688534,0.01843209928263628,0.7340784811584712
L_Heschl,0.4176607404554787,2,44.29758643389357,0.6611519196020198,0.012458618495467654,0.7555412616865023
R_Heschl,0.6053022395802107,2,45.07823267021859,0.550286073455481,0.02038998084032592,0.7340784811584712
