roi,group,n,mean,std,sem
L_STG_posterior,AVH+,23,-0.03175625028493612,0.1125095146900142,0.02345985553143416
L_STG_posterior,AVH-,23,-0.08534891222623864,0.10356135548749645,0.02159403535843175
L_STG_posterior,HC,25,-0.07463833032827824,0.19779844310444644,0.03955968862088929
L_STG_anterior,AVH+,23,0.03517589606460392,0.14203350376614934,0.029616032814271956
L_STG_anterior,AVH-,23,-0.05692607664559075,0.12792691482404267,0.02667460568666457
L_STG_anterior,HC,25,-0.0072843496971541945,0.1398192903685411,0.02796385807370822
L_MTG,AVH+,23,0.13074717985851994,0.1844106598006064,0.038452280674202
L_MTG,AVH-,23,-0.02448033135088966,0.16453632837361107,0.03430819610192596
L_MTG,HC,25,0.034318501709138645,0.15160700340497327,0.030321400680994655
L_IFG_triangularis,AVH+,23,0.04701801480243763,0.09333981128803735,0.01946269605892304
L_IFG_triangularis,AVH-,23,0.0041612755822644345,0.15219065090376194,0.03173394439816274
L_IFG_triangularis,HC,25,0.019225973915308715,0.08598144556084102,0.017196289112168202
L_IFG_opercularis,AVH+,23,0.032382810456961716,0.0963824583868139,0.020097131835906893
L_IFG_opercularis,AVH-,23,0.016328574473078807,0.06845423535000246,0.014273694773730859
L_IFG_opercularis,HC,25,0.014071271110326054,0.0962687801550488,0.01925375603100976
L_STS,AVH+,23,0.056135092154347706,0.13412715458591376,0.0279674450476245
L_STS,AVH-,23,-0.06287849067062465,0.12515818667767634,0.026097285959541663
L_STS,HC,25,0.018024746562354265,0.13642701615002828,0.027285403230005657
R_STG_posterior,AVH+,23,-0.0427214534315483,0.17512495155457192,0.03651607666017517
R_STG_posterior,AVH-,23,-0.06712072894037903,0.1469769308796245,0.030646808622272082
R_STG_posterior,HC,25,-0.09799124215077609,0.1170374811233637,0.023407496224672742
R_STG_anterior,AVH+,23,-0.011637980499021384,0.08581321888853027,0.017893293054893393
R_STG_anterior,AVH-,23,-0.031052334870859656,0.08408890492418433,0.017533748738967365
R_STG_anterior,HC,25,-0.03220672764163464,0.12204475131794658,0.024408950263589316
R_MTG,AVH+,23,0.023578550455058026,0.12305014849738292,0.025657729613567843
R_MTG,AVH-,23,-0.04112331861596735,0.13348872246084004,0.02783432274714954
R_MTG,HC,25,-0.028312740395174316,0.13702393499197174,0.027404786998394347
R_IFG,AVH+,23,0.008305659557099861,0.11226856117748588,0.023409613250954323
R_IFG,AVH-,23,-0.025526529093923972,0.09648148457015691,0.02011778022250297
R_IFG,HC,25,-0.0071788016993265865,0.09588634816530738,0.019177269633061475
L_Heschl,AVH+,23,-0.023777349500921512,0.15041792285573705,0.03136430504794629
L_Heschl,AVH-,23,-0.030746656809828406,0.11279974721461097,0.02352037319624076
L_Heschl,HC,25,-0.05557757316039333,0.1470856576996948,0.02941713153993896
R_Heschl,AVH+,23,-0.05050612338723787,0.11388434864847545,0.023746528228708475
R_Heschl,AVH-,23,-0.04597369297297367,0.10581353728918604,0.02206364772716106
R_Heschl,HC,25,-0.08861416442579108,0.1324299855643866,0.02648599711287732
