roi,comparison,group1,group2,mean_diff,t_stat,q_stat,df,p_value,cohens_d
L_STG_posterior,AVH+_vs_AVH-,AVH+,AVH-,0.053592661941302515,1.6807995611086273,2.3770095349505667,43.7012277887215,0.22394085396046992,0.4956407503882971
L_STG_posterior,AVH+_vs_HC,AVH+,HC,0.04288208004334212,0.9323659188878352,1.3185645275856297,38.63599451376515,0.6234084868843575,0.26650100543491645
L_STG_posterior,AVH-_vs_HC,AVH-,HC,-0.010710581897960397,-0.23764522766022853,0.33608110399033697,36.862713240335275,0.969372554451743,-0.06784206546200325
L_STG_anterior,AVH+_vs_AVH-,AVH+,AVH-,0.09210197271019466,2.3107642532707278,3.267914146422401,43.52717993315912,0.0648385067323265,0.6814072034300925
L_STG_anterior,AVH+_vs_HC,AVH+,HC,0.04246024576175811,1.0424325290263028,1.4742222204078825,45.536277982827286,0.5543165985612559,0.3012844752884694
L_STG_anterior,AVH-_vs_HC,AVH-,HC,-0.04964172694843655,-1.2845249107691612,1.8165925500158375,45.999373299279625,0.41099755391974935,-0.3704465712199627
L_MTG,AVH+_vs_AVH-,AVH+,AVH-,0.15522751120940959,3.0122075607646424,4.259904785116136,43.43998105537487,0.011770096312964329,0.8882515502074201
L_MTG,AVH+_vs_HC,AVH+,HC,0.0964286781493813,1.9691770826876533,2.784836937051165,42.72343753741491,0.13224500925607874,0.571234406520097
L_MTG,AVH-_vs_HC,AVH-,HC,-0.058798833060028304,-1.2841847954151377,1.8161115542694064,44.75856966803512,0.4113800223256354,-0.3716651040441117
L_IFG_triangularis,AVH+_vs_AVH-,AVH+,AVH-,0.04285673922017319,1.151231369578895,1.6280870162878263,36.499054729144774,0.4894441723210905,0.3394796102351872
L_IFG_triangularis,AVH+_vs_HC,AVH+,HC,0.027792040887128912,1.0701055062261193,1.5133577200751045,44.75462750962424,0.5373466880595927,0.3097086457682019
L_IFG_triangularis,AVH-_vs_HC,AVH-,HC,-0.015064698333044281,-0.4173774365640414,0.5902608314173835,34.12041219335983,0.9087026144944146,-0.12188091104216985
L_IFG_opercularis,AVH+_vs_AVH-,AVH+,AVH-,0.01605423598388291,0.6512817988519504,0.9210515528631743,39.69304496703713,0.7927279840191352,0.1920525248616236
L_IFG_opercularis,AVH+_vs_HC,AVH+,HC,0.018311539346635663,0.6579389468869717,0.9304661819010269,45.65911963373311,0.7888331201321335,0.19010037306091643
L_IFG_opercularis,AVH-_vs_HC,AVH-,HC,0.0022573033627527536,0.09418148174152388,0.1331927288032571,43.34654537598825,0.9951222119034225,0.027024698181016726
L_STS,AVH+_vs_AVH-,AVH+,AVH-,0.11901358282497235,3.111270776122123,4.400001327806972,43.79090950862931,0.009005841178102436,0.9174636987180218
L_STS,AVH+_vs_HC,AVH+,HC,0.038110345591993444,0.9753716513767269,1.3793838177312097,45.7868653883244,0.5959790308313704,0.281710451151275
L_STS,AVH-_vs_HC,AVH-,HC,-0.08090323723297892,-2.1427569429792115,3.030315929630314,45.99995271581068,0.09237660002464931,-0.6179881014200425
R_STG_posterior,AVH+_vs_AVH-,AVH+,AVH-,0.024399275508830733,0.5118121391531517,0.723811668577573,42.71488950874787,0.8660149281747587,0.1509251659611262
R_STG_posterior,AVH+_vs_HC,AVH+,HC,0.055269788719227796,1.2742503675560575,1.802062151656678,37.924670323481344,0.4181874031977485,0.3710864670102016
R_STG_posterior,AVH-_vs_HC,AVH-,HC,0.030870513210397063,0.800512742354621,1.1320959770903842,42.04027216522607,0.7047684176956739,0.23236545048036653
R_STG_anterior,AVH+_vs_AVH-,AVH+,AVH-,0.01941435437183827,0.7749625144292721,1.095962498236632,43.98188328598315,0.7202053383379834,0.22852397814833914
R_STG_anterior,AVH+_vs_HC,AVH+,HC,0.020568747142613253,0.6796228553783631,0.9611318593748097,43.13584460492451,0.7765395703896429,0.1949717421069487
R_STG_anterior,AVH-_vs_HC,AVH-,HC,0.0011543927707749826,0.0384109115979298,0.05432123212490634,42.74301080136847,0.9991869192426861,0.011015252038102757
R_MTG,AVH+_vs_AVH-,AVH+,AVH-,0.06470186907102538,1.7091624174014182,2.4171206709874706,43.71146768985568,0.21324866389164032,0.5040045004161957
R_MTG,AVH+_vs_HC,AVH+,HC,0.05189129085023234,1.3822492515317202,1.9547956380962184,45.977093866641496,0.35843882295401075,0.3984753041277723
R_MTG,AVH-_vs_HC,AVH-,HC,-0.012810578220793036,-0.3279623051392925,0.4638087398751309,45.83997061067868,0.942508841356427,-0.09470524994076372
R_IFG,AVH+_vs_AVH-,AVH+,AVH-,0.03383218865102383,1.0960844514002304,1.5500974966764796,43.02681411182183,0.5216570629940982,0.32321767125083445
R_IFG,AVH+_vs_HC,AVH+,HC,0.015484461256426447,0.5116831039357952,0.7236291852231637,43.48434083526722,0.8660700438464298,0.14831960960079893
R_IFG,AVH-_vs_HC,AVH-,HC,-0.018347727394597384,-0.6601385156684523,0.9335768419031691,45.618848142729895,0.7875895005711798,-0.19075579663282693
L_Heschl,AVH+_vs_AVH-,AVH+,AVH-,-0.003482861707553915,-0.07867596976382998,0.11126462347286392,39.60948125072572,0.9965934810076192,-0.02320027776872527
L_Heschl,AVH+_vs_HC,AVH+,HC,0.03448383791787226,0.6924767015662523,0.9793099429823804,45.57184958318967,0.7690633607189139,0.20012339188292846
L_Heschl,AVH-_vs_HC,AVH-,HC,0.037966699625426176,0.88815550360065,1.2560415586883455,43.46735532842474,0.6505845332952556,0.25488145789017946
R_Heschl,AVH+_vs_AVH-,AVH+,AVH-,-0.005754458929718653,-0.15605265923168932,0.22069178712984203,43.65074728749687,0.986668314525554,-0.04601741868058769
R_Heschl,AVH+_vs_HC,AVH+,HC,0.03844996521450717,0.8964747088843832,1.267806691628767,44.96968273218802,0.645307896914694,0.25774658360096864
R_Heschl,AVH-_vs_HC,AVH-,HC,0.044204424144225825,1.0665028210218526,1.5082627537982696,43.57256794217655,0.5396825961739422,0.3060969910257837
