roi,F_stat,df_num,df_den,p_value,eta_squared,p_fdr
L_STG_posterior,0.31923633825359554,2,43.91072106972691,0.7283761272914573,0.007686328621563292,0.8740513527497487
L_STG_anterior,1.0962081021934533,2,44.56454925090385,0.3429754776242894,0.036927566283564514,0.6859509552485789
L_MTG,0.7934880606892835,2,43.90708076209487,0.45864234045235897,0.028699638218835446,0.7488966951323013
L_IFG_triangularis,0.15803038517142687,2,44.28422668981273,0.8543031982314392,0.004000961942532729,0.8884571466474607
L_IFG_opercularis,1.276207453859707,2,44.58242811501203,0.28909147834196136,0.03180796491874722,0.6859509552485789
L_STS,0.7054572558787994,2,44.981134749722756,0.49926446342153413,0.01940542322044653,0.7488966951323013
R_STG_posterior,1.2451448287569042,2,43.45748974731881,0.2979660220852564,0.0266640231394125,0.6859509552485789
R_STG_anterior,1.4086400600828988,2,44.92979833096829,0.2550642448080063,0.03902113216981723,0.6859509552485789
R_MTG,0.1185788403985966,2,45.20324497635748,0.8884571466474607,0.003904329000683069,0.8884571466474607
R_IFG,0.5548669055736699,2,44.70126532049471,0.5780520432338571,0.016482468191046956,0.7707360576451427
L_Heschl,1.899336629420932,2,42.07256883532359,0.16228072949944597,0.049236407813673014,0.6859509552485789
R_Heschl,1.5427674440790091,2,45.03291356728139,0.2248749292162279,0.04064834184641998,0.6859509552485789
