roi,group,n,mean,std,sem
L_STG_posterior,AVH+,23,0.052087339540214654,0.13490376674335738,0.028129379876583455
L_STG_posterior,AVH-,23,0.08926551936639715,0.18952897360845322,0.03951952287880541
L_STG_posterior,HC,25,0.12704898815136406,0.22382657340484127,0.044765314680968255
L_STG_anterior,AVH+,23,0.03303301720311152,0.13776612411165506,0.028726222646055996
L_STG_anterior,AVH-,23,0.007050074334208144,0.19701555030091275,0.041080582031126966
L_STG_anterior,HC,25,-0.04575746349990368,0.17776563424720876,0.03555312684944175
L_MTG,AVH+,23,0.06496608315126212,0.1834388485903997,0.03824964402913165
L_MTG,AVH-,23,0.1156132567130849,0.2253564623971003,0.04699007071070658
L_MTG,HC,25,0.12197513492580722,0.18639747193970962,0.037279494387941925
L_IFG_triangularis,AVH+,23,0.0014671247870207365,0.09331380779190214,0.019457273955162974
L_IFG_triangularis,AVH-,23,-0.0003953809344829893,0.18373460043405318,0.03831131255151736
L_IFG_triangularis,HC,25,0.027733766072870873,0.13810217481229,0.027620434962458
L_IFG_opercularis,AVH+,23,-0.027791667459330163,0.09389540139742734,0.019578544605038405
L_IFG_opercularis,AVH-,23,0.026169459627050414,0.1475915184307781,0.03077495898538765
L_IFG_opercularis,HC,25,-0.017161526379175486,0.09846785532834589,0.01969357106566918
L_STS,AVH+,23,0.07230929796806658,0.16536901168362178,0.03448182257440795
L_STS,AVH-,23,0.09370889768773771,0.20398147846484083,0.0425330784605921
L_STS,HC,25,0.14026036499161273,0.15369815759577143,0.030739631519154285
R_STG_posterior,AVH+,23,0.059193966936563015,0.1934493767243513,0.040336983437384434
R_STG_posterior,AVH-,23,0.06816494233055931,0.2091939533587242,0.04361995460887741
R_STG_posterior,HC,25,0.06863069816771895,0.1898324155111728,0.03796648310223456
R_STG_anterior,AVH+,23,0.022142863822291078,0.14762495442694412,0.030781930872536622
R_STG_anterior,AVH-,23,-0.01904315576564683,0.1808712779037304,0.03771426853185068
R_STG_anterior,HC,25,-0.004089361582882703,0.09594471829762938,0.019188943659525875
R_MTG,AVH+,23,0.04699208767479643,0.12548340860015655,0.026165099418146143
R_MTG,AVH-,23,0.09869931687022108,0.19983771658331398,0.04166904437987349
R_MTG,HC,25,0.0813836178893552,0.1457192717237231,0.02914385434474462
R_IFG,AVH+,23,0.026923169535579557,0.11919477054875774,0.024853827739641694
R_IFG,AVH-,23,0.01951173479474641,0.17973135553223826,0.03747657828648845
R_IFG,HC,25,0.04789083415976702,0.10900811956223341,0.021801623912446683
L_Heschl,AVH+,23,0.07349432210701154,0.14514407051838174,0.03026463081799911
L_Heschl,AVH-,23,0.07321970309029617,0.18102024093523905,0.037745329471081876
L_Heschl,HC,25,0.04485598016995937,0.21619547972437572,0.04323909594487514
R_Heschl,AVH+,23,0.046701153374699336,0.14267487299409548,0.02974976754303138
R_Heschl,AVH-,23,0.08291260477456248,0.18881362326994183,0.03937036202212518
R_Heschl,HC,25,0.1023437340365989,0.1408173022107313,0.02816346044214626
