roi,group,n,mean,std,sem
L_STG_posterior,AVH+,23,-0.14617559355987317,0.11029508073599503,0.02299811413304376
L_STG_posterior,AVH-,23,-0.12564562245616284,0.09827260444615676,0.02049125453395306
L_STG_posterior,HC,25,-0.16235164889786394,0.1963234686741313,0.03926469373482626
L_STG_anterior,AVH+,23,-0.008491141335965437,0.13638507620368598,0.028438254250741073
L_STG_anterior,AVH-,23,-0.04202738091230052,0.09045662850959862,0.018861510891257444
L_STG_anterior,HC,25,-0.08610714373577918,0.1399579960900347,0.02799159921800694
L_MTG,AVH+,23,0.006787499140404983,0.14626105208485854,0.030497537574845576
L_MTG,AVH-,23,-0.02453617191947329,0.0952315353086091,0.019857147784630255
L_MTG,HC,25,-0.018498026139595933,0.13123065576011878,0.026246131152023754
L_IFG_triangularis,AVH+,23,0.002904531396754955,0.09253844261788434,0.01929559914022239
L_IFG_triangularis,AVH-,23,-0.025451184573287065,0.11731617405591764,0.024462113292687465
L_IFG_triangularis,HC,25,-0.012826387410689344,0.0899419581976138,0.01798839163952276
L_IFG_opercularis,AVH+,23,-0.006467157817931603,0.0859416687489132,0.01792007670226685
L_IFG_opercularis,AVH-,23,0.015304170415291321,0.0639482637108636,0.013334134737638021
L_IFG_opercularis,HC,25,-0.005512374015524984,0.07317593380014081,0.014635186760028163
L_STS,AVH+,23,-0.044309600836435405,0.1146584416250365,0.0239079377721418
L_STS,AVH-,23,-0.06890443669753553,0.08945394195953699,0.01865243629278843
L_STS,HC,25,-0.05577323796320707,0.12684129302421207,0.025368258604842413
R_STG_posterior,AVH+,23,-0.09802094261546658,0.22202963724604358,0.04629637971366364
R_STG_posterior,AVH-,23,-0.10837164918649132,0.13047511639432657,0.027205942443991635
R_STG_posterior,HC,25,-0.1669611363708973,0.15231401891408883,0.030462803782817766
R_STG_anterior,AVH+,23,-0.03666641863528639,0.09712329223653901,0.02025160637199597
R_STG_anterior,AVH-,23,-0.016222641366007536,0.10033538216055972,0.020921373420401783
R_STG_anterior,HC,25,-0.07900865603331476,0.11786868407044486,0.02357373681408897
R_MTG,AVH+,23,-0.03930744049246506,0.10550823661869148,0.021999988136741654
R_MTG,AVH-,23,-0.049807102703834746,0.08911117593693071,0.01858096463642601
R_MTG,HC,25,-0.0643059249231044,0.1470164498392011,0.029403289967840217
R_IFG,AVH+,23,-0.041560802211073396,0.08135268378324506,0.016963207191033832
R_IFG,AVH-,23,-0.04755157979419133,0.08471632083620674,0.017664574000232806
R_IFG,HC,25,-0.03280055576219009,0.09494709648133545,0.01898941929626709
L_Heschl,AVH+,23,-0.05502779292323035,0.10162061480510064,0.02118936295220526
L_Heschl,AVH-,23,-0.06259838391831436,0.09770118029291394,0.02037210436146157
L_Heschl,HC,25,-0.12455094634543493,0.15356577004146357,0.030713154008292713
R_Heschl,AVH+,23,-0.06979793128411424,0.12577543238519803,0.026225990586574797
R_Heschl,AVH-,23,-0.06594562007295737,0.09415372676059243,0.01963240916677485
R_Heschl,HC,25,-0.10592510595351834,0.1195016022230511,0.02390032044461022
