roi,comparison,group1,group2,mean_diff,t_stat,q_stat,df,p_value,cohens_d
L_STG_posterior,AVH+_vs_AVH-,AVH+,AVH-,-0.020529971103710326,-0.6664996248549871,0.9425728087865028,43.42663824027249,0.784030323895377,-0.1965400169302488
L_STG_posterior,AVH+_vs_HC,AVH+,HC,0.01617605533799077,0.355485125228771,0.5027318853204261,38.365948481585406,0.9328362186614783,0.10158972152677839
L_STG_posterior,AVH-_vs_HC,AVH-,HC,0.036706026441701095,0.8287647976141919,1.1720504168033834,35.94456972716414,0.6878426608610533,0.23644329811196946
L_STG_anterior,AVH+_vs_AVH-,AVH+,AVH-,0.033536239576335086,0.9827573811745229,1.3898288169792758,38.217174980590144,0.5920717632669623,0.2897993414120711
L_STG_anterior,AVH+_vs_HC,AVH+,HC,0.07761600239981375,1.9451080981795683,2.7507982527272836,45.83846216543314,0.13773058965283314,0.5616896068281877
L_STG_anterior,AVH-_vs_HC,AVH-,HC,0.04407976282347866,1.3059388051371579,1.8468763698542834,41.42538183514281,0.3999635956174269,0.374077239436571
L_MTG,AVH+_vs_AVH-,AVH+,AVH-,0.03132367105987827,0.8607203394765266,1.2172423774980785,37.8116101522709,0.6680061227165722,0.25381258110945243
L_MTG,AVH+_vs_HC,AVH+,HC,0.025285525280000914,0.6284258311759725,0.8887283333946453,44.35352038944563,0.8053461215263716,0.18197671328383141
L_MTG,AVH-_vs_HC,AVH-,HC,-0.006038145779877359,-0.1834662316802795,0.2594604330797357,43.714087600468105,0.981622561727021,-0.052664615589941316
L_IFG_triangularis,AVH+_vs_AVH-,AVH+,AVH-,0.02835571597004202,0.9101117418385123,1.2870923685830251,41.73622118392871,0.6370232101533239,0.26837731107242196
L_IFG_triangularis,AVH+_vs_HC,AVH+,HC,0.0157309188074443,0.5963207596296343,0.8433249057928552,45.413718364053395,0.8227855354328522,0.17239469596617665
L_IFG_triangularis,AVH-_vs_HC,AVH-,HC,-0.012624797162597722,-0.4157806881736441,0.5880026881879863,41.18633062994281,0.9093236226184284,-0.12077789219348972
L_IFG_opercularis,AVH+_vs_AVH-,AVH+,AVH-,-0.021771328233222923,-0.9746885335759745,1.3784177432726872,40.64562414325458,0.5968430253547994,-0.2874199680643797
L_IFG_opercularis,AVH+_vs_HC,AVH+,HC,-0.0009547838024066193,-0.04126664710205152,0.05835985200538564,43.425649682497315,0.999061586504269,-0.011962545567928966
L_IFG_opercularis,AVH-_vs_HC,AVH-,HC,0.020816544430816306,1.0514105730557155,1.4869190920378608,45.888008581218465,0.548740047218803,0.3029307775393903
L_STS,AVH+_vs_AVH-,AVH+,AVH-,0.024594835861100124,0.8110868950044382,1.147050087178359,41.54179402707355,0.6983310988682814,0.23917647682211207
L_STS,AVH+_vs_HC,AVH+,HC,0.011463637126771668,0.3288589177263846,0.46507674155599094,45.98858403025325,0.9422035709901488,0.09481648687233772
L_STS,AVH-_vs_HC,AVH-,HC,-0.013131198734328456,-0.41702909349460493,0.5897681999242278,43.19263503355841,0.908795917967706,-0.1196449768266179
R_STG_posterior,AVH+_vs_AVH-,AVH+,AVH-,0.010350706571024743,0.19275633391785238,0.27259862165994386,35.5755722592504,0.9797369642073457,0.0568407418681894
R_STG_posterior,AVH+_vs_HC,AVH+,HC,0.06894019375543071,1.2439666875911222,1.7592345607317,38.54999982264457,0.4351011207326232,0.3620998275148569
R_STG_posterior,AVH-_vs_HC,AVH-,HC,0.05858948718440597,1.434507106941315,2.0286994059569996,45.780906624424546,0.33195370747865915,0.413138584559017
R_STG_anterior,AVH+_vs_AVH-,AVH+,AVH-,-0.020443777269278856,-0.7021119834765933,0.9929362893372727,43.95350068002504,0.7635092750676574,-0.20704152856716745
R_STG_anterior,AVH+_vs_HC,AVH+,HC,0.04234223739802837,1.3624459088310075,1.9267894822685483,45.4757914133729,0.3688738999153133,0.39207489238366167
R_STG_anterior,AVH-_vs_HC,AVH-,HC,0.06278601466730722,1.9920277737284786,2.8171526942306975,45.740020398178686,0.12565876964837386,0.5736309219207546
R_MTG,AVH+_vs_AVH-,AVH+,AVH-,0.010499662211369686,0.364612988788136,0.5156406337615712,42.80177691490272,0.9294627779770792,0.1075185046128127
R_MTG,AVH+_vs_HC,AVH+,HC,0.024998484430639338,0.6807375069576831,0.9627082147556046,43.515554074573856,0.7758893877533364,0.1953667772554955
R_MTG,AVH-_vs_HC,AVH-,HC,0.014498822219269653,0.41684530095954325,0.5895082780284806,40.03144550858042,0.9088875626373043,0.11927101054781496
R_IFG,AVH+_vs_AVH-,AVH+,AVH-,0.005990777583117932,0.24461577705313023,0.34593894947897014,43.92797454647641,0.967576580246178,0.07213325735012745
R_IFG,AVH+_vs_HC,AVH+,HC,-0.008760246448883305,-0.34404249454316915,0.48654956181562137,45.782372884963635,0.9369283942564509,-0.0990848456338868
R_IFG,AVH-_vs_HC,AVH-,HC,-0.014751024032001236,-0.5687643521196944,0.8043542605620185,45.9620256937703,0.8373294129821021,-0.1639417325926614
L_Heschl,AVH+_vs_AVH-,AVH+,AVH-,0.011396382257099387,0.3407410479000588,0.48188061119748365,43.93478478299566,0.9380965893765784,0.10047905328930833
L_Heschl,AVH+_vs_HC,AVH+,HC,0.07758841004080907,1.7796930640566935,2.5168660680503057,41.09134592823447,0.18900628895616767,0.5096418613462081
L_Heschl,AVH-_vs_HC,AVH-,HC,0.0661920277837097,1.535799387427039,2.17194832278361,40.25231053594461,0.2852752113686833,0.43950900575677865
R_Heschl,AVH+_vs_AVH-,AVH+,AVH-,-0.006581385843224402,-0.17412414718210836,0.2462487304815866,40.724041326995135,0.9834309201502089,-0.05134640974866655
R_Heschl,AVH+_vs_HC,AVH+,HC,0.03502273375018042,0.8586872841626523,1.2143672031001427,45.04019357898619,0.6688059493028138,0.2484119882206743
R_Heschl,AVH-_vs_HC,AVH-,HC,0.04160411959340482,1.1728379886018179,1.6586433899470725,45.073914413304934,0.47531243822303326,0.33726003581761305
