roi,group,n,mean,std,sem
L_STG_posterior,AVH+,23,-0.0838015589589739,0.09976709470634498,0.020802877294870212
L_STG_posterior,AVH-,23,-0.04419015777378303,0.1269780005318225,0.0264767433790319
L_STG_posterior,HC,25,-0.08728571868967265,0.16905387387023638,0.03381077477404727
L_STG_anterior,AVH+,23,-0.025645635342398956,0.1211310983641214,0.025257579999484664
L_STG_anterior,AVH-,23,0.0025018873705488164,0.10660577580111393,0.02222884087626915
L_STG_anterior,HC,25,-0.07524225901014038,0.14033332961030145,0.02806666592206029
L_MTG,AVH+,23,-0.11830768146459253,0.12473526006121442,0.026009099663920968
L_MTG,AVH-,23,-0.007732260029029359,0.1414634048585087,0.029497158974590685
L_MTG,HC,25,-0.051585364883436874,0.1595965498659607,0.03191930997319214
L_IFG_triangularis,AVH+,23,-0.02270273015742751,0.06587254331918548,0.013735374772649236
L_IFG_triangularis,AVH-,23,-0.04083010735463359,0.19182226041178924,0.039997706232867844
L_IFG_triangularis,HC,25,-0.029515114314854145,0.08655572391272126,0.017311144782544252
L_IFG_opercularis,AVH+,23,0.013303465681636461,0.135605916785408,0.028275788281181793
L_IFG_opercularis,AVH-,23,0.030507984836383357,0.08119469571845377,0.016930264402275866
L_IFG_opercularis,HC,25,-0.019237228396348654,0.09348738445264454,0.01869747689052891
L_STS,AVH+,23,-0.0943359478295821,0.0937311412470848,0.019544293996036802
L_STS,AVH-,23,-0.008172648795880377,0.10674306893268128,0.02225746847315198
L_STS,HC,25,-0.07152206727303564,0.1464569956828192,0.02929139913656384
R_STG_posterior,AVH+,23,-0.05312944016540827,0.14090841027770756,0.029381434604770086
R_STG_posterior,AVH-,23,-0.05061839675611776,0.13142582858337812,0.02740417963902864
R_STG_posterior,HC,25,-0.06565461824368685,0.12583975491747332,0.025167950983494662
R_STG_anterior,AVH+,23,-0.02454135577477839,0.11069458648692977,0.02308141684061235
R_STG_anterior,AVH-,23,0.026858420257011188,0.14353659174550146,0.029929448323562792
R_STG_anterior,HC,25,-0.047654826580546795,0.12069604420551146,0.02413920884110229
R_MTG,AVH+,23,-0.06823149504678329,0.15695100316733623,0.0327265464611072
R_MTG,AVH-,23,-0.005292556031852428,0.09750054417972119,0.020330268839880497
R_MTG,HC,25,-0.03576228618008249,0.14273521147388255,0.02854704229477651
R_IFG,AVH+,23,-0.04551937339003037,0.10072847004707988,0.02100333791073247
R_IFG,AVH-,23,-0.0004739841008133212,0.10349759366504695,0.021580740099384477
R_IFG,HC,25,-0.02117692001068439,0.11776028499191099,0.023552056998382198
L_Heschl,AVH+,23,-0.009601566267041436,0.11355059493911716,0.023676935769562257
L_Heschl,AVH-,23,-0.04119913504921807,0.12773640647485257,0.026634881949860217
L_Heschl,HC,25,-0.06417111572113972,0.13850391462638936,0.027700782925277872
R_Heschl,AVH+,23,-0.018976974192889882,0.11910125858097083,0.024834329146471282
R_Heschl,AVH-,23,-0.021147523588927884,0.13529526513297532,0.028211012933898928
R_Heschl,HC,25,-0.015169745006516015,0.09471608654506414,0.018943217309012828
