roi,pearson_r,pearson_p,n
L_STG_posterior,-0.16386365985481058,0.4549971481802287,23
L_STG_anterior,-0.2654734059335291,0.22084615894388512,23
L_MTG,-0.0833711232280211,0.7052849439494187,23
L_IFG_triangularis,-0.1942665006963178,0.3744233146938861,23
L_IFG_opercularis,-0.048221969137776724,0.8270440004237196,23
L_STS,-0.22244648326721472,0.30764400506049416,23
R_STG_posterior,-0.4752687685105154,0.021910521801771134,23
R_STG_anterior,-0.1437583715646089,0.5128503691314199,23
R_MTG,-0.41206405744726726,0.05072557905295924,23
R_IFG,0.11630185996206094,0.5971810397213452,23
L_Heschl,-0.14549710617394862,0.5077111317127054,23
R_Heschl,-0.35076101000352106,0.1007971953568901,23
