roi,partial_r,partial_p
L_STG_posterior,-0.26555399614313097,0.22070076577606698
L_STG_anterior,-0.3494169413734446,0.10219955273730137
L_MTG,-0.011298439127798052,0.9591939650008513
L_IFG_triangularis,-0.14843598193021923,0.49908193132331513
L_IFG_opercularis,-0.08659422822609247,0.6944144837436624
L_STS,-0.09498831358404987,0.6663805675626491
R_STG_posterior,-0.16459632734257185,0.452955498745315
R_STG_anterior,-0.06292364927947007,0.7754717275692279
R_MTG,0.028998133441790565,0.8955048774518041
R_IFG,0.23601190860341056,0.27829365790172195
L_Heschl,-0.12480382920695815,0.5704520845574876
R_Heschl,-0.1528264080320101,0.48632658271206225
