roi,partial_r,partial_p
L_STG_posterior,-0.1826730548380151,0.4041302664499206
L_STG_anterior,-0.07736674631170179,0.7256836531278611
L_MTG,-0.02111128040392279,0.9238300998254945
L_IFG_triangularis,-0.00659853512548237,0.9761620370445112
L_IFG_opercularis,-0.18223679111143126,0.40527300117730203
L_STS,-0.0027679761880375665,0.9899992332546244
R_STG_posterior,0.5566657694903874,0.0058009557475712905
R_STG_anterior,0.0049599574973261465,0.9820805115460859
R_MTG,0.4269324273143354,0.04217880632492789
R_IFG,-0.017328157361341415,0.9374509030490091
L_Heschl,-0.03678269667355816,0.8676674150332282
R_Heschl,0.2890657553499145,0.18097137336535
