roi,pearson_r,pearson_p,n
L_STG_posterior,-0.03540583281001923,0.8725809411868841,23
L_STG_anterior,-0.12983841696128817,0.5548777659159306,23
L_MTG,-0.07181549284463942,0.7447050999115625,23
L_IFG_triangularis,-0.12824561155179123,0.5597841665689559,23
L_IFG_opercularis,-0.08310798390145978,0.7061749250903396,23
L_STS,-0.12419176707981164,0.5723585436504884,23
R_STG_posterior,-0.05858184455532498,0.7906174367619877,23
R_STG_anterior,-0.1244588304895357,0.5715263463135875,23
R_MTG,-0.22572486440519796,0.30038321970469223,23
R_IFG,0.3497571469113731,0.10184324215250282,23
L_Heschl,0.055515830719191105,0.8013574035459224,23
R_Heschl,-0.06251646513040494,0.7768888592355779,23
