roi,comparison,cohens_d,d_ci_lower,d_ci_upper,interpretation
L_STG_posterior,HC_vs_AVH-,0.37987943866478635,-0.18304036918632452,0.9341252829376336,small
L_STG_posterior,HC_vs_AVH+,0.24602449542186824,-0.30417256400897075,0.8383055961650695,small
L_STG_posterior,AVH-_vs_AVH+,-0.16753726385790316,-0.7754910452442113,0.42074386190610175,negligible
L_STG_anterior,HC_vs_AVH-,0.034017581616252776,-0.5260319045320505,0.5994564485100016,negligible
L_STG_anterior,HC_vs_AVH+,-0.13143519774001877,-0.7280838073492661,0.4189318551061175,negligible
L_STG_anterior,AVH-_vs_AVH+,-0.19365795033210098,-0.7758495625557431,0.40325519178255315,negligible
L_MTG,HC_vs_AVH-,0.03634166928231303,-0.540741909158123,0.642782772370186,negligible
L_MTG,HC_vs_AVH+,0.21049515274929428,-0.3589775353369581,0.7996577307782743,small
L_MTG,AVH-_vs_AVH+,0.168255331485795,-0.4704762294080592,0.6614848474515934,negligible
L_IFG_triangularis,HC_vs_AVH-,0.36903999871154186,-0.19408457362237153,0.99095336437351,small
L_IFG_triangularis,HC_vs_AVH+,0.1566161479098249,-0.4104607150636863,0.7806900066024755,negligible
L_IFG_triangularis,AVH-_vs_AVH+,-0.2748293329910936,-0.8159302259947883,0.29751910372387064,small
L_IFG_opercularis,HC_vs_AVH-,0.02693026332243478,-0.5805589975252141,0.614305402968309,negligible
L_IFG_opercularis,HC_vs_AVH+,0.12264284361680312,-0.4700546293688263,0.7459845775607169,negligible
L_IFG_opercularis,AVH-_vs_AVH+,0.0917342412916157,-0.475304056111619,0.697255822888907,negligible
L_STS,HC_vs_AVH-,0.19050809599732813,-0.38764714376840353,0.8067365879087475,negligible
L_STS,HC_vs_AVH+,0.2675744310782582,-0.2441915516020653,0.8901650875784732,small
L_STS,AVH-_vs_AVH+,0.06347831105726286,-0.5044894178811257,0.6997381973609347,negligible
R_STG_posterior,HC_vs_AVH-,0.39113062721388875,-0.1809927348391206,1.1004441957980216,small
R_STG_posterior,HC_vs_AVH+,0.19483538104352968,-0.33646386482394075,0.9795377888080777,negligible
R_STG_posterior,AVH-_vs_AVH+,-0.13755249162587713,-0.6421952953799098,0.5224448405665182,negligible
R_STG_anterior,HC_vs_AVH-,0.5738241473875701,0.0004729103072857382,1.2613727424159915,medium
R_STG_anterior,HC_vs_AVH+,-0.05166082007238694,-0.6150854156038489,0.5068467201194409,negligible
R_STG_anterior,AVH-_vs_AVH+,-0.7300729870148299,-1.3131555437648583,-0.21947219741714633,medium
R_MTG,HC_vs_AVH-,0.09109811029087445,-0.5096787399989037,0.6795907603738333,negligible
R_MTG,HC_vs_AVH+,0.23849621702953674,-0.32354725443993904,0.8821143901693416,small
R_MTG,AVH-_vs_AVH+,0.10216496705765239,-0.4636071644111379,0.733265952889635,negligible
R_IFG,HC_vs_AVH-,0.2626615275513203,-0.304512168311649,0.8824149592769646,small
R_IFG,HC_vs_AVH+,-0.028472310570575247,-0.6094117433131864,0.5765691333252423,negligible
R_IFG,AVH-_vs_AVH+,-0.2749088778585368,-0.8913335664318498,0.25980325858830394,small
L_Heschl,HC_vs_AVH-,0.298899274206632,-0.2679528543505725,0.9247270709241374,small
L_Heschl,HC_vs_AVH+,0.051905477362991115,-0.5612198371157503,0.6097389137770459,negligible
L_Heschl,AVH-_vs_AVH+,-0.3264982798483816,-0.9198354562359757,0.2726654387818157,small
R_Heschl,HC_vs_AVH-,0.4075675922267022,-0.1641191719349345,1.081620404004405,small
R_Heschl,HC_vs_AVH+,0.16260135451292135,-0.4223721274572736,0.7659709274685231,negligible
R_Heschl,AVH-_vs_AVH+,-0.24242106368584376,-0.8378308871083426,0.3077822335594179,small
