roi,comparison,cohens_d,d_ci_lower,d_ci_upper,interpretation
L_STG_posterior,HC_vs_AVH-,0.18153807333351213,-0.37616339338818244,0.7384881458960708,negligible
L_STG_posterior,HC_vs_AVH+,0.4015935181608399,-0.15851844538736443,0.9893286546080629,small
L_STG_posterior,AVH-_vs_AVH+,0.2260076772455729,-0.4210160096972684,0.7721043161222402,small
L_STG_anterior,HC_vs_AVH-,-0.2820625867849226,-0.8174136228464731,0.2957090228954469,small
L_STG_anterior,HC_vs_AVH+,-0.49278292541779556,-1.0025480037279213,0.0257475829206723,small
L_STG_anterior,AVH-_vs_AVH+,-0.1528479381975098,-0.7504425271348067,0.4029534130755256,negligible
L_MTG,HC_vs_AVH-,0.030890166673746135,-0.5729509871122134,0.5969317975475298,negligible
L_MTG,HC_vs_AVH+,0.3081763901912983,-0.325823391827511,0.8998290847937006,small
L_MTG,AVH-_vs_AVH+,0.2464949733077076,-0.3452552334743904,0.827778536879848,small
L_IFG_triangularis,HC_vs_AVH-,0.17412825248601924,-0.3451938232332347,0.8232837452523575,negligible
L_IFG_triangularis,HC_vs_AVH+,0.22108620873685841,-0.31002977824947053,0.8002331313904539,small
L_IFG_triangularis,AVH-_vs_AVH+,-0.01278181713037057,-0.6897302666194761,0.5353859885718145,negligible
L_IFG_opercularis,HC_vs_AVH-,-0.3483034023906839,-0.8565755104780103,0.26277635363391205,small
L_IFG_opercularis,HC_vs_AVH+,0.11037637632064183,-0.46278767512340346,0.7777886613730637,negligible
L_IFG_opercularis,AVH-_vs_AVH+,0.436252688156756,-0.10197049918092146,0.9989175667630555,small
L_STS,HC_vs_AVH-,0.2593213477523655,-0.3102061582689056,1.0023723365250101,small
L_STS,HC_vs_AVH+,0.4263288017048466,-0.11116866673306482,1.1160670076830985,small
L_STS,AVH-_vs_AVH+,0.11524886389903646,-0.46005971823568287,0.6859984452289808,negligible
R_STG_posterior,HC_vs_AVH-,0.002336641288377656,-0.5505704067957331,0.6395956228119677,negligible
R_STG_posterior,HC_vs_AVH+,0.04925976129289748,-0.46216113438824,0.6958401473135609,negligible
R_STG_posterior,AVH-_vs_AVH+,0.044526378837473506,-0.618725232922855,0.6428425202482548,negligible
R_STG_anterior,HC_vs_AVH-,0.10457240101091211,-0.44448681524101424,0.7926463155885239,negligible
R_STG_anterior,HC_vs_AVH+,-0.21259241339778343,-0.7740241038840128,0.38203050631817276,small
R_STG_anterior,AVH-_vs_AVH+,-0.24948044107439432,-0.9438024276585715,0.3045883887786426,small
R_MTG,HC_vs_AVH-,-0.09967685480126849,-0.6297134603156285,0.5413063953574694,negligible
R_MTG,HC_vs_AVH+,0.2521072325871289,-0.31028523420939796,0.925559633091827,small
R_MTG,AVH-_vs_AVH+,0.30989314924147954,-0.22426385738674692,0.8300342486165104,small
R_IFG,HC_vs_AVH-,0.19287604471368622,-0.35743608477444094,1.0158709983901502,negligible
R_IFG,HC_vs_AVH+,0.18393716933027596,-0.3543226832091866,0.7226423951723756,negligible
R_IFG,AVH-_vs_AVH+,-0.04860048453698084,-0.8029474385874884,0.4707587752115109,negligible
L_Heschl,HC_vs_AVH-,-0.10790868534634318,-0.5605400980509616,0.5915860927939864,negligible
L_Heschl,HC_vs_AVH+,-0.16037586341204935,-0.641207272827544,0.48006022878316795,negligible
L_Heschl,AVH-_vs_AVH+,-0.05077354798818042,-0.7086379561396731,0.569821403591983,negligible
R_Heschl,HC_vs_AVH-,0.07132804973203995,-0.4688666055699711,0.7843509965404879,negligible
R_Heschl,HC_vs_AVH+,0.2949286939476467,-0.24903242080633314,0.9957335182613939,small
R_Heschl,AVH-_vs_AVH+,0.1678072936554525,-0.43378852229523424,0.7367726610487785,negligible
