roi,comparison,cohens_d,d_ci_lower,d_ci_upper,interpretation
L_STG_posterior,HC_vs_AVH-,-0.23342188781248935,-0.746104656163661,0.31379069645079766,small
L_STG_posterior,HC_vs_AVH+,-0.10046001699351823,-0.6278215620082571,0.5134485275856734,negligible
L_STG_posterior,AVH-_vs_AVH+,0.19654001693024906,-0.4036904443129499,0.7855883536312477,negligible
L_STG_anterior,HC_vs_AVH-,-0.37078132921560664,-0.9714328982738029,0.17419007767010752,small
L_STG_anterior,HC_vs_AVH+,-0.5613741755893977,-1.1674719853021576,0.00044511822499101935,medium
L_STG_anterior,AVH-_vs_AVH+,-0.28979934141207114,-0.9392304481821087,0.2686046000633796,small
L_MTG,HC_vs_AVH-,0.05231314838281377,-0.4991263517470167,0.6060439723783326,negligible
L_MTG,HC_vs_AVH+,-0.182405527397587,-0.7430237892150316,0.3873305289774716,negligible
L_MTG,AVH-_vs_AVH+,-0.2538125811094526,-0.8106851247074094,0.3524068709492908,small
L_IFG_triangularis,HC_vs_AVH-,0.12146539566540585,-0.4500269827796775,0.6432911766463947,negligible
L_IFG_triangularis,HC_vs_AVH+,-0.17250142456275033,-0.7462966392920422,0.37418179630189574,negligible
L_IFG_triangularis,AVH-_vs_AVH+,-0.26837731107242196,-0.8046329176167775,0.3123238633093415,small
L_IFG_opercularis,HC_vs_AVH-,-0.3020522833742369,-0.8568038879215443,0.23427530870778024,small
L_IFG_opercularis,HC_vs_AVH+,0.012004223098150446,-0.5395369894557822,0.656099455995878,negligible
L_IFG_opercularis,AVH-_vs_AVH+,0.2874199680643797,-0.2670403054127113,0.9263274652659912,small
L_STS,HC_vs_AVH-,0.11878132995680254,-0.4441401735002825,0.7077302162316734,negligible
L_STS,HC_vs_AVH+,-0.09460972895668479,-0.6410500467928006,0.5558108318128688,negligible
L_STS,AVH-_vs_AVH+,-0.2391764768221122,-0.8365181233736955,0.3049999781132302,small
R_STG_posterior,HC_vs_AVH-,-0.4117664843340974,-1.1056510002422426,0.1604457490003374,small
R_STG_posterior,HC_vs_AVH+,-0.3649672232118697,-1.006418802367115,0.22434794588022053,small
R_STG_posterior,AVH-_vs_AVH+,-0.05684074186818947,-0.6790793514771274,0.5257099482316611,negligible
R_STG_anterior,HC_vs_AVH-,-0.5716500498029835,-1.1119371829452989,-0.021406652226329613,medium
R_STG_anterior,HC_vs_AVH+,-0.3904552542780409,-0.9492950313265607,0.15609039003828326,small
R_STG_anterior,AVH-_vs_AVH+,0.20704152856716748,-0.3228690538500817,0.7611545778973848,small
R_MTG,HC_vs_AVH-,-0.1180892642918107,-0.7100272215998651,0.45800249305994184,negligible
R_MTG,HC_vs_AVH+,-0.19402131863174238,-0.7542645485674102,0.4056133012603304,negligible
R_MTG,AVH-_vs_AVH+,-0.1075185046128126,-0.6297476434339035,0.5051996226842868,negligible
R_IFG,HC_vs_AVH-,0.1635386439250085,-0.357669143358843,0.8028081056763934,negligible
R_IFG,HC_vs_AVH+,0.09875625971246745,-0.4274443031736869,0.7454118115968275,negligible
R_IFG,AVH-_vs_AVH+,-0.07213325735012781,-0.586442026903511,0.4815051338306306,negligible
L_Heschl,HC_vs_AVH-,-0.47699396409948414,-0.9693780091058054,0.05493102172333488,small
L_Heschl,HC_vs_AVH+,-0.5294512887459505,-0.9751350778782257,-0.03927720680465941,medium
L_Heschl,AVH-_vs_AVH+,-0.07594882201788472,-0.6051118913970993,0.6153862364745883,negligible
R_Heschl,HC_vs_AVH-,-0.3697604444769287,-0.9430280655107939,0.25009808303300424,small
R_Heschl,HC_vs_AVH+,-0.2948141252753568,-0.8791140628359444,0.27012474770378136,small
R_Heschl,AVH-_vs_AVH+,0.034675698529673254,-0.566089472619434,0.6192770182449537,negligible
