roi,comparison,t_stat,p_value,cohens_d
L_STG_posterior,AVH+_vs_AVH-,0.568146503977114,0.5728236870796812,0.16753726385790346
L_STG_posterior,AVH+_vs_HC,-0.851513726889028,0.3988953284131421,-0.24602449542186802
L_STG_posterior,AVH-_vs_HC,-1.314798170935349,0.19509519908703493,-0.37987943866478635
L_STG_anterior,AVH+_vs_AVH-,0.6567260615039962,0.5147774354560413,0.193657950332101
L_STG_anterior,AVH+_vs_HC,0.45490947915608143,0.6513141155929258,0.13143519774001874
L_STG_anterior,AVH-_vs_HC,-0.117738023005137,0.9067878436220341,-0.03401758161625281
L_MTG,AVH+_vs_AVH-,-0.5705815897783942,0.5711859011062725,-0.16825533148579505
L_MTG,AVH+_vs_HC,-0.7285433578566138,0.46997391871872407,-0.21049515274929428
L_MTG,AVH-_vs_HC,-0.125781907199474,0.9004527094902464,-0.03634166928231296
L_IFG_triangularis,AVH+_vs_AVH-,0.931991612693906,0.35642687396297934,0.2748293329910935
L_IFG_triangularis,AVH+_vs_HC,-0.5420630964775245,0.5903914047491854,-0.15661614790982498
L_IFG_triangularis,AVH-_vs_HC,-1.2772818581952288,0.20791217504796455,-0.36903999871154186
L_IFG_opercularis,AVH+_vs_AVH-,-0.3110859475956861,0.7572043674010257,-0.09173424129161553
L_IFG_opercularis,AVH+_vs_HC,-0.42447832141811126,0.6731958070534049,-0.1226428436168032
L_IFG_opercularis,AVH-_vs_HC,-0.09320815331200251,0.9261429835542461,-0.026930263322435005
L_STS,AVH+_vs_AVH-,-0.2152654261809125,0.8305551021696735,-0.06347831105726269
L_STS,AVH+_vs_HC,-0.926100064292244,0.35922743800002044,-0.267574431078258
L_STS,AVH-_vs_HC,-0.6593662901210389,0.5129482151127481,-0.19050809599732813
R_STG_posterior,AVH+_vs_AVH-,0.46646319410388687,0.6431853361755623,0.13755249162587713
R_STG_posterior,AVH+_vs_HC,-0.6743434272987162,0.5034680298090256,-0.19483538104352963
R_STG_posterior,AVH-_vs_HC,-1.3537395839720836,0.18243384473439814,-0.39113062721388864
R_STG_anterior,AVH+_vs_AVH-,2.4757979548502536,0.01721403428730044,0.7300729870148301
R_STG_anterior,AVH+_vs_HC,0.17880291699633594,0.8588776574408584,0.051660820072386926
R_STG_anterior,AVH-_vs_HC,-1.9860588982534204,0.05300459216356917,-0.5738241473875703
R_MTG,AVH+_vs_AVH-,-0.34645825965006044,0.7306497524813589,-0.10216496705765235
R_MTG,AVH+_vs_HC,-0.8254576531638483,0.41337236585529147,-0.23849621702953652
R_MTG,AVH-_vs_HC,-0.3152990570037162,0.7539605770141448,-0.09109811029087428
R_IFG,AVH+_vs_AVH-,0.9322613624636379,0.35628904015819185,0.27490887785853674
R_IFG,AVH+_vs_HC,0.09854532267414819,0.9219274637753938,0.02847231057057534
R_IFG,AVH-_vs_HC,-0.9090960469284621,0.368038136073753,-0.26266152755132016
L_Heschl,AVH+_vs_AVH-,1.1072095364272516,0.27421976841275236,0.3264982798483816
L_Heschl,AVH+_vs_HC,-0.1796496986998233,0.8582166185101203,-0.051905477362991115
L_Heschl,AVH-_vs_HC,-1.034518268222376,0.30630217858808556,-0.29889927420663204
R_Heschl,AVH+_vs_AVH-,0.8220898243888085,0.41545856651692603,0.2424210636858436
R_Heschl,AVH+_vs_HC,-0.5627784548082657,0.5763185066448977,-0.16260135451292182
R_Heschl,AVH-_vs_HC,-1.4106294530593293,0.1650809775734757,-0.4075675922267025
