roi,group,n,mean,std,sem
L_STG_posterior,AVH+,23,0.14070387378780416,0.18019539052848618,0.03757333627183306
L_STG_posterior,AVH-,23,0.13708718225623115,0.14217389307272424,0.0296453060082723
L_STG_posterior,HC,25,0.20618589432165024,0.23994308675663462,0.04798861735132692
L_STG_anterior,AVH+,23,0.055449649256771705,0.15771536788281337,0.03288592752188082
L_STG_anterior,AVH-,23,0.031641287686723606,0.16907832980515228,0.03525526886907017
L_STG_anterior,HC,25,0.022776975254749973,0.16355816821700125,0.032711633643400254
L_MTG,AVH+,23,0.16538259588334414,0.20846049650206022,0.043467018282173975
L_MTG,AVH-,23,0.14039307399783904,0.200602593126127,0.04182853216402415
L_MTG,HC,25,0.17063830635389862,0.14079903462635712,0.028159806925271424
L_IFG_triangularis,AVH+,23,0.03422408770914754,0.09159653812690417,0.019099198477187933
L_IFG_triangularis,AVH-,23,0.02281739712038527,0.16913385166967004,0.035266845978117446
L_IFG_triangularis,HC,25,0.05852956240898685,0.12084131181991861,0.02416826236398372
L_IFG_opercularis,AVH+,23,-0.025877608326466187,0.10768129692285594,0.022453102532775195
L_IFG_opercularis,AVH-,23,0.00911865510228697,0.1181936234297613,0.024645074134739223
L_IFG_opercularis,HC,25,-0.004201752974651754,0.06007433301637551,0.012014866603275103
L_STS,AVH+,23,0.15211697940856378,0.18493683460299043,0.0385619957048127
L_STS,AVH-,23,0.11854744585656116,0.16626264628248213,0.03466815826917045
L_STS,HC,25,0.20149166466295718,0.1415777910931457,0.02831555821862914
R_STG_posterior,AVH+,23,0.10216244413800864,0.23785141933596524,0.04959544933548238
R_STG_posterior,AVH-,23,0.11249560486909972,0.17213479504198484,0.03589258592701413
R_STG_posterior,HC,25,0.12215776879992335,0.21543588402640568,0.04308717680528114
R_STG_anterior,AVH+,23,0.03106402139098424,0.14869056645947978,0.031004126341112964
R_STG_anterior,AVH-,23,-0.05378950719681123,0.14229626809016468,0.029670822963329117
R_STG_anterior,HC,25,0.03696265301201493,0.13001278066029506,0.026002556132059013
R_MTG,AVH+,23,0.09553027764210464,0.15446558348589395,0.032208300632545345
R_MTG,AVH-,23,0.1336254528492613,0.13901960112741474,0.028987590671531137
R_MTG,HC,25,0.11494790447459502,0.12996781671044833,0.025993563342089666
R_IFG,AVH+,23,0.053727875676508614,0.13286934085817492,0.02770517275519209
R_IFG,AVH-,23,0.04919454079316545,0.1523560663344241,0.03176843589976326
R_IFG,HC,25,0.0694370330382998,0.10341657355717015,0.02068331471143403
L_Heschl,AVH+,23,0.07064571447289113,0.17335788880635164,0.036147618606627935
L_Heschl,AVH-,23,0.09928835445402999,0.12357127053287108,0.025766391069449883
L_Heschl,HC,25,0.09257257282262361,0.1612111339728383,0.03224222679456766
R_Heschl,AVH+,23,0.04935383544102041,0.17196130396447942,0.03585641053664396
R_Heschl,AVH-,23,0.0950373583173417,0.11997812313642338,0.02501716804545889
R_Heschl,HC,25,0.08629429351679885,0.11205054485747601,0.022410108971495202
