roi,comparison,t_stat,p_value,cohens_d
L_STG_posterior,AVH+_vs_AVH-,0.07556781467787092,0.9401054919399469,0.02228373283691207
L_STG_posterior,AVH+_vs_HC,-1.061717659891784,0.29390643160105423,-0.3067578869335175
L_STG_posterior,AVH-_vs_HC,-1.2002162883457654,0.2362001252022571,-0.3467737482238573
L_STG_anterior,AVH+_vs_AVH-,0.49382420660219495,0.6238865638467923,0.14562081403613536
L_STG_anterior,AVH+_vs_HC,0.7032960851806689,0.48541584753522127,0.2032005580472559
L_STG_anterior,AVH-_vs_HC,0.18457469371677337,0.8543739780458023,0.053328436706731985
L_MTG,AVH+_vs_AVH-,0.41425375608085674,0.6807008780894368,0.12215676828215026
L_MTG,AVH+_vs_HC,-0.10310522122774865,0.9183276540056481,-0.02978978403623875
L_MTG,AVH-_vs_HC,-0.6085619891312072,0.5458083605096267,-0.17582941012111916
L_IFG_triangularis,AVH+_vs_AVH-,0.28441015869604086,0.777430339268287,0.08386798029693798
L_IFG_triangularis,AVH+_vs_HC,-0.780014487806492,0.4393775620544009,-0.22536650288122526
L_IFG_triangularis,AVH-_vs_HC,-0.846914442471334,0.401427587706616,-0.24469564235416832
L_IFG_opercularis,AVH+_vs_AVH-,-1.0496940720700996,0.29959031707193373,-0.30953789470043014
L_IFG_opercularis,AVH+_vs_HC,-0.8704416008857718,0.388579011034737,-0.2514932512415431
L_IFG_opercularis,AVH-_vs_HC,0.4981843928720343,0.6207277093549175,0.14393844751179805
L_STS,AVH+_vs_AVH-,0.6473770179463992,0.5207514907010398,0.1909010677914821
L_STS,AVH+_vs_HC,-1.0435836353945789,0.30213157617957165,-0.3015184949119793
L_STS,AVH-_vs_HC,-1.8656134144919994,0.068480165910804,-0.5390243098364979
R_STG_posterior,AVH+_vs_AVH-,-0.1687851314753707,0.8667391889923471,-0.04977201990918031
R_STG_posterior,AVH+_vs_HC,-0.30563375593093195,0.7612623858837531,-0.08830555305492724
R_STG_posterior,AVH-_vs_HC,-0.1706865815047789,0.8652187795455119,-0.04931579933939156
R_STG_anterior,AVH+_vs_AVH-,1.977291283649679,0.054294798577419895,0.5830713894986724
R_STG_anterior,AVH+_vs_HC,-0.1466029661838931,0.8840860347152888,-0.042357415557485144
R_STG_anterior,AVH-_vs_HC,-2.309130588079712,0.025479544764251096,-0.6671679737578081
R_MTG,AVH+_vs_AVH-,-0.8791481597422219,0.38409711420311965,-0.2592466488447424
R_MTG,AVH+_vs_HC,-0.4725789218696981,0.6387481763699343,-0.13654035998312802
R_MTG,AVH-_vs_HC,0.4810841733486719,0.6327372052051472,0.13899774867514067
R_IFG,AVH+_vs_AVH-,0.1075467505362647,0.9148441471907673,0.0317138065543392
R_IFG,AVH+_vs_HC,-0.4591351280804653,0.6482994676488336,-0.13265609778146575
R_IFG,AVH-_vs_HC,-0.5424490144426148,0.5901277447838873,-0.15672764966210143
L_Heschl,AVH+_vs_AVH-,-0.6452358911718251,0.5221248561076877,-0.19026968395144445
L_Heschl,AVH+_vs_HC,-0.45408135007730827,0.6519056094002674,-0.13119592967854699
L_Heschl,AVH-_vs_HC,0.16092629395806538,0.8728561373325405,0.04649579803697512
R_Heschl,AVH+_vs_AVH-,-1.0448833111230758,0.3017835762942202,-0.3081192786911845
R_Heschl,AVH+_vs_HC,-0.8887972805875586,0.3787363818298307,-0.256796685225228
R_Heschl,AVH-_vs_HC,0.26107023523131107,0.795203652669213,0.07542999116069718
