roi,F_stat,p_value,p_fdr
L_STG_posterior,0.8707184629214985,0.4232653648263972,0.6524871891263662
L_STG_anterior,2.6109659848166555,0.08081701196150663,0.32326804784602653
L_MTG,5.073555355059253,0.008836159719792564,0.06289389616188264
L_IFG_triangularis,0.8427028189534818,0.43499145941757744,0.6524871891263662
L_IFG_opercularis,0.3001082905318402,0.7417140050079147,0.7417140050079147
L_STS,4.877717765676104,0.010482316026980439,0.06289389616188264
R_STG_posterior,0.848273843790522,0.4326333261647186,0.6524871891263662
R_STG_anterior,0.31456164571280676,0.7311655120469176,0.7417140050079147
R_MTG,1.5710268092959307,0.2152809070555372,0.6458427211666117
R_IFG,0.6384595249616719,0.5312412861456657,0.7083217148608876
L_Heschl,0.3550992399148382,0.7023961585067307,0.7417140050079147
R_Heschl,0.9508318950390571,0.39149623859986005,0.6524871891263662
