roi,group,n,mean,std,sem
L_STG_posterior,AVH+,23,-0.1107868139287862,0.08836408640983964,0.018425185701436437
L_STG_posterior,AVH-,23,-0.09319492489220979,0.09170326223030426,0.01912145199107417
L_STG_posterior,HC,25,-0.11961103985086083,0.17699962041096365,0.03539992408219273
L_STG_anterior,AVH+,23,9.725666383192645e-05,0.12672805562877654,0.026424626264026717
L_STG_anterior,AVH-,23,-0.032605494030290456,0.09287421216734429,0.01936561193108624
L_STG_anterior,HC,25,-0.052850440623504774,0.11962089056735004,0.02392417811347001
L_MTG,AVH+,23,0.04964489173668119,0.1656124906111037,0.034532591440307084
L_MTG,AVH-,23,-0.0020235546438209275,0.11019567835147484,0.022977387303079657
L_MTG,HC,25,0.006430053144693372,0.11798066439694717,0.023596132879389435
L_IFG_triangularis,AVH+,23,0.004272408248511412,0.10288598835623368,0.021453211576783083
L_IFG_triangularis,AVH-,23,0.008369062451786386,0.08555624798741009,0.0178397109180166
L_IFG_triangularis,HC,25,-0.004782058453481447,0.07936592034336878,0.015873184068673756
L_IFG_opercularis,AVH+,23,-0.00014103216564525945,0.08317495277993364,0.017343176543132728
L_IFG_opercularis,AVH-,23,0.02799649973926337,0.06217125904918886,0.012963603651832224
L_IFG_opercularis,HC,25,0.0013356037447229032,0.07014223010640235,0.014028446021280469
L_STS,AVH+,23,-0.018103004490916175,0.12304406598594102,0.025656461322258538
L_STS,AVH-,23,-0.05242480590595338,0.10743472952844951,0.02240168967700496
L_STS,HC,25,-0.019466451243497433,0.11213863812860872,0.022427727625721743
R_STG_posterior,AVH+,23,-0.09209972061621753,0.18723505818175984,0.03904120844771196
R_STG_posterior,AVH-,23,-0.07639756574720631,0.13067740460756128,0.027248122452244925
R_STG_posterior,HC,25,-0.13285205276310444,0.12132725834205742,0.024265451668411483
R_STG_anterior,AVH+,23,-0.03603249837786121,0.08895127416286408,0.018547622811699818
R_STG_anterior,AVH-,23,-0.014920060768844959,0.07445041216422207,0.015523984068730479
R_STG_anterior,HC,25,-0.058162835283204914,0.10336062450123862,0.020672124900247724
R_MTG,AVH+,23,-0.027324261884097856,0.10063420638898689,0.02098368257929833
R_MTG,AVH-,23,-0.03342695498881894,0.09864587386594804,0.02056908658830626
R_MTG,HC,25,-0.043662426535697546,0.1294065421278114,0.025881308425562282
R_IFG,AVH+,23,-0.044326359638684705,0.09655374809999598,0.02013284821008506
R_IFG,AVH-,23,-0.029342735797756554,0.08944210359008169,0.018649967822118068
R_IFG,HC,25,-0.01668568411698708,0.08300085509050001,0.0166001710181
L_Heschl,AVH+,23,-0.05842511411335977,0.11003349361990092,0.022943569448806517
L_Heschl,AVH-,23,-0.030749923407613212,0.07021729212808307,0.014641317524761692
L_Heschl,HC,25,-0.09018153820139699,0.13940424492811687,0.027880848985623374
R_Heschl,AVH+,23,-0.08034144642511175,0.10680064917925408,0.02226947478452737
R_Heschl,AVH-,23,-0.045175635844805315,0.09452207419021827,0.019709214915232715
R_Heschl,HC,25,-0.10103351143153408,0.10894462537265331,0.021788925074530664
