roi,comparison,t_stat,p_value,cohens_d
L_STG_posterior,AVH+_vs_AVH-,-1.1764033715742273,0.24575922049250257,-0.34690242866424065
L_STG_posterior,AVH+_vs_HC,0.08597959213195157,0.9318557972749728,0.02484174371225155
L_STG_posterior,AVH-_vs_HC,0.9916980784482972,0.32653291599386636,0.28652740602603927
L_STG_anterior,AVH+_vs_AVH-,-0.836573623847008,0.40735288805710934,-0.2466921031351879
L_STG_anterior,AVH+_vs_HC,1.3053885628203117,0.1982522626109475,0.37716075778447067
L_STG_anterior,AVH-_vs_HC,2.1467945829307933,0.037115547205441794,0.6202648734384759
L_MTG,AVH+_vs_AVH-,-2.811744322626403,0.007332406061004542,-0.8291381662709261
L_MTG,AVH+_vs_HC,-1.6039100697016622,0.11557880981325348,-0.4634113968333363
L_MTG,AVH-_vs_HC,1.0038621329388977,0.320696706722277,0.29004191821043773
L_IFG_triangularis,AVH+_vs_AVH-,0.42864058508359826,0.6702760641593319,0.1263992127042107
L_IFG_triangularis,AVH+_vs_HC,0.30479915004130737,0.761893944587695,0.08806441367409637
L_IFG_triangularis,AVH-_vs_HC,-0.26704210479499696,0.7906303337661119,-0.07715541982935621
L_IFG_opercularis,AVH+_vs_AVH-,-0.522031638715678,0.6042666217088171,-0.1539387319739722
L_IFG_opercularis,AVH+_vs_HC,0.9745937235882264,0.3348593034859131,0.281585512382892
L_IFG_opercularis,AVH-_vs_HC,1.9604479340055527,0.05601597755883511,0.5664244727171813
L_STS,AVH+_vs_AVH-,-2.9089071350178326,0.005667154423869312,-0.8577899165199334
L_STS,AVH+_vs_HC,-0.6364324216282042,0.5276489833263157,-0.183881904021968
L_STS,AVH-_vs_HC,1.6997035743316518,0.09594024273980879,0.49108863549323295
R_STG_posterior,AVH+_vs_AVH-,-0.06249823878907392,0.9504491165814967,-0.018429725166593854
R_STG_posterior,AVH+_vs_HC,0.32531179548166933,0.7464201860039179,0.0939910512430177
R_STG_posterior,AVH-_vs_HC,0.40486306729795724,0.6874547934282449,0.11697548577500584
R_STG_anterior,AVH+_vs_AVH-,-1.3599329754814296,0.18077898883460639,-0.40102235628906346
R_STG_anterior,AVH+_vs_HC,0.6895158866351351,0.49396248435165424,0.19921909974902705
R_STG_anterior,AVH-_vs_HC,1.9520907591286354,0.05702996480529824,0.5640098672125142
R_MTG,AVH+_vs_AVH-,-1.6336226479334586,0.109474426097058,-0.4817290376605039
R_MTG,AVH+_vs_HC,-0.7506814907365834,0.45666736706768596,-0.21689143597924931
R_MTG,AVH-_vs_HC,0.8560556652574294,0.3964044129755022,0.24733677972221113
R_IFG,AVH+_vs_AVH-,-1.4958160017646898,0.1418403799581682,-0.4410920746959658
R_IFG,AVH+_vs_HC,-0.7663106938224482,0.44740626948004103,-0.22140711985095146
R_IFG,AVH-_vs_HC,0.6445658009707458,0.522410146199128,0.18623184916746083
L_Heschl,AVH+_vs_AVH-,0.8866441957782288,0.3800911666718455,0.2614571092778553
L_Heschl,AVH+_vs_HC,1.4850393150951728,0.14435464421861924,0.42906653955273305
L_Heschl,AVH-_vs_HC,0.5957334125098341,0.5542733553648269,0.17212290018406282
R_Heschl,AVH+_vs_AVH-,0.057750969623924064,0.9542084716347033,0.017029831862386813
R_Heschl,AVH+_vs_HC,-0.12306641067745658,0.9025906461169677,-0.035557091605462145
R_Heschl,AVH-_vs_HC,-0.17849794066846994,0.8591157618334685,-0.051572704467424256
